Probe id	Gene name	Entrez gene id	Chromosome	Start	End	Cytoband	RefSeq(mRNA)	RefSeq(protein)	miRNA Accession #	MirBase Name	BR:MCF7	BR:MDA-MB-231	BR:HS 578T	BR:BT-549	BR:T-47D	CNS:SF-268	CNS:SF-295	CNS:SF-539	CNS:SNB-19	CNS:SNB-75	CNS:U251	CO:COLO 205	CO:HCC-2998	CO:HCT-116	CO:HCT-15	CO:HT29	CO:KM12	CO:SW-620	LE:CCRF-CEM	LE:HL-60(TB)	LE:K-562	LE:MOLT-4	LE:RPMI-8226	LE:SR	ME:LOX IMVI	ME:MALME-3M	ME:M14	ME:SK-MEL-2	ME:SK-MEL-28	ME:SK-MEL-5	ME:UACC-257	ME:UACC-62	ME:MDA-MB-435	ME:MDA-N	LC:A549/ATCC	LC:EKVX	LC:HOP-62	LC:HOP-92	LC:NCI-H226	LC:NCI-H23	LC:NCI-H322M	LC:NCI-H460	LC:NCI-H522	OV:IGROV1	OV:OVCAR-3	OV:OVCAR-4	OV:OVCAR-5	OV:OVCAR-8	OV:SK-OV-3	OV:NCI/ADR-RES	PR:PC-3	PR:DU-145	RE:786-0	RE:A498	RE:ACHN	RE:CAKI-1	RE:RXF 393	RE:SN12C	RE:TK-10	RE:UO-31
hsa-miR-339-5p	-	-	7	1062590	1062612	-	-	-	MI0000815	hsa-mir-339	-3.403	-3.529	-4.41	-3.802	-3.412	-3.191	-3.093	-3.74	-4.306	-3.442	-2.474	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.284	-3.545	-2.767	-1.38	-3.201	-2.905	-2.26	-4.257	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.532	-2.891	-4.328	-3.497	-3.606	-4.188	-3.916	-4.285	-3.176	-3.903	-4.028	-3.07	-3.454	-3.785	-3.661	-3.045	-3.929	-3.366	-4.34	-3.624	-2.894	-3.962	-4.513	-3.496	-4.117	-3.162	-3.998
hsa-miR-148a	-	-	7	25989541	25989562	-	-	-	MI0000253	hsa-mir-148a	2.307	-0.145	-4.41	-3.802	2.958	0.679	-3.093	1.891	0.714	-2.042	0.057	2.61	0.318	0.249	2.586	-4.116	0.391	1.051	0.406	3.157	1.042	4.114	3.77	2.134	-4.257	1.759	0.186	1.941	2.33	2.332	2.382	2.023	-3.228	-3.532	-2.891	-4.328	-0.049	-3.606	1.444	-0.84	0.059	-0.67	-3.894	-0.771	-0.476	0.643	-0.473	-1.471	-1.304	0.216	-3.366	-0.284	-2.378	0.908	-1.025	-1.134	-1.877	-4.549	-2.07	-0.832
hsa-miR-196b	-	-	7	27209146	27209167	-	-	-	MI0001150	hsa-mir-196b	-3.086	-3.529	-0.467	-1.9	-1.211	-1.866	-1.82	0.024	-1.152	-3.698	-1.579	-0.32	-3.423	0.187	-0.795	0.64	0.705	1.11	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-3.094	-2.797	-2.256	-3.673	-2.607	-3.213	-1.641	-2.104	-2.71	-2.509	-1.43	-0.515	-1.5	-1.876	-3.682	-3.666	-3.731	0.219	-3.903	-4.028	0.677	-1.742	-1.294	-1.719	-1.05	-0.459	1.32	-0.474	2.585	2.779	2.062	0.242	1.182	-2.982	2.063	1.398
hsa-miR-550*	-	-	7	30329471	30329492	-	-	-	MI0003600	hsa-mir-550-1	-1.902	-2.298	-2.472	-2.655	-2.432	-1.937	-2.691	-1.795	-2.501	-0.799	-1.593	-2.853	-1.927	-2.209	-2.04	-1.716	-1.937	-1.267	-2.525	-0.799	0.693	-1.268	-1.913	-	-3.341	-1.884	-2.334	-1.282	-1.508	-0.63	-1.716	-2.858	-1.38	-1.2	-0.165	-1.288	-2.534	-1.369	-3.657	-2.134	-2.049	-1.199	-0.364	-2.939	-1.45	-2.065	-1.781	-3.661	-1.988	-3.493	-2.024	-2.466	-0.807	-0.969	-2.119	-4.008	-1.673	-2.462	-0.811	-3.049
hsa-miR-550*(2)	-	-	7	32772654	32772675	-	-	-	MI0003601	hsa-mir-550-2	-1.902	-2.298	-2.472	-2.655	-2.432	-1.937	-2.691	-1.795	-2.501	-0.799	-1.593	-2.853	-1.927	-2.209	-2.04	-1.716	-1.937	-1.267	-2.525	-0.799	0.693	-1.268	-1.913	-	-3.341	-1.884	-2.334	-1.282	-1.508	-0.63	-1.716	-2.858	-1.38	-1.2	-0.165	-1.288	-2.534	-1.369	-3.657	-2.134	-2.049	-1.199	-0.364	-2.939	-1.45	-2.065	-1.781	-3.661	-1.988	-3.493	-2.024	-2.466	-0.807	-0.969	-2.119	-4.008	-1.673	-2.462	-0.811	-3.049
hsa-miR-590-5p	-	-	7	73605544	73605565	-	-	-	MI0003602	hsa-mir-590	0.195	-0.556	0.05	-0.994	0.683	-0.467	-0.528	-0.68	-0.973	0.198	-0.706	-1.136	-0.28	0.343	0.244	0.2	0.197	-0.016	-0.9	0.391	1.645	0.747	0.384	1.367	-1.444	0.91	-0.498	-0.135	-0.45	1.091	0.472	0.122	-0.167	-0.571	0.197	0.207	-0.601	0.284	-1.717	1.504	-0.864	-0.113	0.391	0.104	-2.089	0.197	-0.269	-1.496	0.183	-0.674	0.256	-0.595	0.518	-0.539	-1.348	-2.006	0.435	-1.16	0.03	-0.947
hsa-miR-25	-	-	7	99691193	99691214	-	-	-	MI0000082	hsa-mir-25	4.789	3.723	2.504	2.412	3.162	3.258	3.287	2.136	1.915	3.665	2.896	3.349	3.27	3.329	2.998	3.424	3.398	4.037	3.561	4.348	4.759	5.688	4.492	4.283	1.502	4.343	3.438	3.36	3.342	3.308	3.102	2.104	3.878	3.555	3.261	2.734	2.977	3.649	1.835	3.724	2.012	2.912	3.459	2.856	3.448	4.036	2.757	2.185	1.988	1.508	3.666	2.78	2.919	3.265	2.511	1.438	3.009	2.231	3.652	2.087
hsa-miR-25*	-	-	7	99691193	99691214	-	-	-	MI0000082	hsa-mir-25	-3.327	-3.529	-4.41	-3.802	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.269	-3.545	-3.167	-1.38	-2.688	-2.905	-2.26	-4.257	-3.345	-3.316	-3.673	-2.607	-3.213	-3.36	-4.655	-3.098	-3.532	-2.891	-4.328	-3.497	-3.606	-4.374	-3.916	-4.285	-3.176	-3.903	-4.028	-3.07	-3.454	-3.785	-3.661	-3.045	-3.929	-3.366	-4.34	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-miR-93	-	-	7	99691399	99691459	-	-	-	MI0000095	hsa-mir-93	4.999	3.721	2.305	2.827	3.472	3.08	2.648	1.938	1.802	3.317	2.526	3.543	3.361	3.167	3.498	3.577	3.627	3.977	3.976	4.413	3.934	5.705	4.733	4.117	2.208	3.177	3.133	3.292	2.455	2.966	2.803	2.237	3.417	3.179	3.355	2.471	2.891	3.039	2.324	3.931	2.142	3.066	3.645	3.183	3.173	3.736	2.731	2.343	2.237	1.541	3.529	2.831	2.815	3.422	2.111	1.806	2.864	1.716	3.46	2.507
hsa-miR-93*	-	-	7	99691399	99691459	-	-	-	MI0000095	hsa-mir-93	-2.974	-3.529	-4.41	-3.802	-3.412	-3.639	-3.093	-3.862	-4.306	-3.405	-3.202	-3.647	-3.6	-3.398	-3.427	-3.75	-3.609	-2.984	-3.068	-2.58	-1.38	-1.633	-2.905	-2.26	-4.257	-3.345	-3.583	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-2.591	-2.891	-4.328	-3.497	-3.606	-4.374	-3.916	-4.285	-3.176	-3.494	-3.96	-3.07	-3.344	-3.785	-3.661	-3.045	-3.929	-3.366	-4.34	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-miR-106b	-	-	7	99691624	99691685	-	-	-	MI0000734	hsa-mir-106b	5.241	3.899	2.595	2.667	3.778	3.141	2.895	2.48	2.177	3.629	2.582	3.517	3.76	2.943	3.293	3.942	3.852	3.697	3.94	4.482	4.231	6.019	5.073	4.584	2.273	4.369	3.066	3.799	3.238	3.558	3.619	2.14	3.88	3.46	3.588	2.815	3.073	3.559	2.186	4.35	2.623	2.903	4.024	2.966	2.341	3.942	3.115	2.261	2.565	2.116	3.971	2.992	3.048	3.725	2.359	1.618	3.175	2.055	3.94	2.48
hsa-miR-106b*	-	-	7	99691624	99691685	-	-	-	MI0000734	hsa-mir-106b	-2.916	-3.529	-4.41	-3.802	-3.412	-3.396	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.615	-3.398	-3.255	-3.99	-3.687	-3.226	-2.258	-2.37	-1.38	-2.22	-2.905	-2.26	-4.257	-3.345	-3.368	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.532	-2.891	-4.328	-3.497	-3.606	-4.374	-3.916	-4.285	-3.176	-3.782	-3.914	-3.07	-3.454	-3.785	-3.661	-3.045	-3.929	-3.366	-4.34	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-miR-129*	-	-	7	127847974	127847995	-	-	-	MI0000252	hsa-mir-129-1	-4.002	-3.529	-4.41	-3.802	-3.412	-3.639	-3.093	-3.106	-3.66	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.545	-0.074	-1.379	-3.201	-2.905	-2.26	-4.242	-3.345	-3.98	-3.673	-2.607	-3.185	-3.36	-4.642	-3.228	-2.469	-2.891	-4.328	-3.497	-2.407	-4.374	-3.916	-3.161	-3.176	-3.46	-4.028	-3.07	-3.013	-3.785	-3.661	-3.045	-3.929	-3.366	-2.919	-3.624	-2.894	-3.826	-4.39	-3.496	-4.53	-3.162	-3.998
hsa-miR-182	-	-	7	129410245	129410309	-	-	-	MI0000272	hsa-mir-182	-0.65	-2.442	-3.169	-2.46	-1.645	-3.639	-2.105	-3.862	-2.722	-1.707	-1.036	-2.253	-1.735	-1.404	-1.201	-2.081	-2.566	-0.391	-3.545	-3.167	-1.38	-2.376	-2.905	-2.26	-3.644	-3.345	-3.859	-3.673	-2.607	-3.213	-3.36	-4.228	-3.228	-3.532	-2.554	-2.77	-3.103	-2.576	-1.384	-0.833	-2.663	-2.974	-0.818	-1.143	-2.144	-1.861	-3.453	-1.311	-3.045	-3.001	-0.573	-0.083	-3.061	-2.053	-1.115	-2.22	-3.496	-2.48	-2.349	-1.141
hsa-miR-182*	-	-	7	129410245	129410309	-	-	-	MI0000272	hsa-mir-182	-3.985	-3.529	-4.41	-3.802	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.077	-3.647	-3.615	-3.398	-3.453	-3.61	-3.687	-3.298	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.445	-2.891	-4.328	-3.497	-3.606	-4.374	-3.4	-4.285	-3.176	-3.18	-3.875	-3.07	-3.335	-3.785	-3.661	-3.045	-3.929	-3.236	-4.116	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-miR-96	-	-	7	129414578	129414600	-	-	-	MI0000098	hsa-mir-96	2.921	1.843	0.772	0.508	2.16	-0.466	1.298	-0.91	0.754	2.164	2.483	1.338	1.77	1.982	2.067	2.26	1.88	2.506	-3.377	-3.167	2.425	2.926	1.45	1.697	-0.821	-0.991	-0.895	-3.019	0.208	0.021	-3.332	-1.302	1.739	1.878	2.197	1.691	1.397	2.15	1	3.586	1.709	0.15	3.677	1.364	1.448	3.327	1.068	1.495	1.483	2.458	4.117	2.043	2.516	3.035	1.233	0.046	1.52	-0.104	3.031	1.252
hsa-miR-183	-	-	7	129414767	129414827	-	-	-	MI0000273	hsa-mir-183	1.873	0.057	-0.96	-1.071	1.325	-2.679	-1.353	-2.73	-0.965	-0.106	-0.178	-0.401	-0.177	0.359	0.398	0.821	0.115	0.167	-3.545	-3.167	0.533	1.631	0.579	0.542	-3.069	-2.462	-3.69	-3.673	-1.289	-1.181	-3.36	-3.311	0.102	0.082	0.412	0.155	-0.344	-0.031	-0.729	2.834	0.704	-2.038	2.665	-0.203	2.085	2.009	0.152	-0.98	-0.333	1.195	2.533	-0.308	1.612	1.011	-1.842	-2.666	0.272	-3.444	1.508	-1.142
hsa-miR-183*	-	-	7	129414767	129414827	-	-	-	MI0000273	hsa-mir-183	-2.452	-3.529	-4.41	-3.645	-3.124	-3.639	-3.093	-3.862	-4.306	-3.379	-2.197	-3.647	-3.615	-2.423	-3.16	-2.277	-3.586	-2.346	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.532	-2.891	-4.093	-3.497	-3.606	-3.875	-1.59	-4.285	-3.176	-1.875	-3.048	-2.899	-2.053	-3.785	-3.021	-3.045	-3.929	-1.403	-2.958	-3.218	-2.538	-3.881	-4.309	-3.496	-4.549	-2.697	-3.984
hsa-miR-335	-	-	7	130135968	130135990	-	-	-	MI0000816	hsa-mir-335	-0.133	-1.339	-3.032	-2.642	-3.412	1.394	-3.093	-3.862	-4.306	-0.122	-0.121	-1.426	-0.518	-2.555	-1.766	-1.658	-1.284	0.036	-3.545	-3.053	-1.38	-3.201	-1.655	-2.26	-4.257	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.532	-1.953	-1.988	-0.667	-0.565	0.557	-1.98	-4.285	-3.176	-3.903	-1.565	-0.314	-1.148	-2.929	-0.724	-3.045	-1.441	-1.658	-1	-3.624	-2.894	-3.962	-4.513	-3.496	1.584	-2.936	-2.112
hsa-miR-335*	-	-	7	130135968	130135990	-	-	-	MI0000816	hsa-mir-335	-2.961	-3.483	-4.41	-3.802	-3.412	-0.541	-3.093	-3.862	-4.306	-3.632	-2.28	-3.362	-3.252	-3.327	-2.93	-4.116	-3.687	-1.217	-3.545	-3.167	-1.336	-3.201	-2.905	-2.26	-4.257	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.513	-3.228	-2.145	-2.891	-4.328	-3.497	-3.606	-0.724	-3.916	-4.285	-3.176	-3.413	-2.311	-2.905	-3.313	-3.687	-1.733	-3.045	-3.929	-3.366	-1.739	-3.624	-2.894	-3.962	-4.357	-3.496	0.45	-3.162	-3.26
hsa-miR-29a	-	-	7	130561506	130561527	-	-	-	MI0000087	hsa-mir-29a	2.326	6.99	4.812	4.706	1.336	5.526	5.552	4.202	4.121	4.926	4.394	4.827	5.62	5.184	5.302	5.077	5.437	5.097	1.767	3.225	2.102	3.598	4.894	5.49	5.834	6.895	4.805	6.388	6.965	6.518	6.399	3.831	6.372	6.52	5.346	4.056	5.835	7.512	4.55	5.547	3.274	3.898	2.82	2.324	2.376	4.71	5.783	6.253	4.715	6.592	5.747	5.629	4.3	5.503	5.758	4.414	5.043	5.111	6.344	5.169
hsa-miR-29a*	-	-	7	130561506	130561527	-	-	-	MI0000087	hsa-mir-29a	-4.002	-3.52	-4.41	-3.802	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.09	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-2.661	-3.345	-3.579	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.532	-2.891	-4.328	-3.497	-3.606	-4.279	-3.916	-4.285	-3.176	-3.903	-4.028	-3.07	-3.454	-3.785	-2.48	-3.045	-3.929	-3.366	-2.644	-3.624	-2.894	-2.257	-4.051	-3.496	-2.963	-3.162	-3.135
hsa-miR-29b(2)	-	-	7	130562225	130562247	-	-	-	MI0000105	hsa-mir-29b-1	2.292	6.461	3.276	3.815	3.471	4.831	4.581	1.8	2.104	3.897	3.739	4.523	5.077	5.151	5.205	4.636	4.789	4.97	1.849	3.054	1.35	2.565	4.244	4.042	5.83	6.234	4.524	5.42	6.125	5.756	5.84	3.602	5.442	5.719	4.825	3.483	5.023	6.561	3.809	4.864	3.037	3.933	2.455	2.2	-0.952	3.662	5.189	5.977	3.471	5.732	4.532	5.644	3.257	4.375	5.704	4.07	3.644	5.228	5.405	5.206
hsa-miR-29b-1*	-	-	7	130562225	130562247	-	-	-	MI0000105	hsa-mir-29b-1	-4.002	-	-2.212	-2.778	-3.412	-1.348	-1.511	-2.764	-3.041	-2.368	-2.544	-2.031	-1.384	-1.171	-1.294	-2.918	-1.295	-1.383	-3.545	-3.167	-1.38	-3.081	-2.232	-1.054	-0.355	-0.929	-1.018	-1.197	-0.143	-0.643	-0.919	-3.075	-0.057	0.101	-1.993	-3.084	-0.999	0.77	-2.351	-1.723	-4.285	-1.976	-3.903	-4.028	-3.07	-2.584	-1.396	-0.442	-2.441	-0.234	-1.328	-0.673	-2.663	-2.011	0.123	-1.719	-1.888	-1.247	-1.116	-0.839
hsa-miR-671-5p	-	-	7	150935536	150935558	-	-	-	MI0003760	hsa-mir-671	-3.416	-2.536	-4.095	-0.674	-3.412	-2.183	-2.363	-3.336	-3.057	-3.191	-2.57	-2.672	-2.05	-2.78	-2.812	-3.309	-2.696	-2.618	0.571	-2.011	-1.38	-3.17	-1.408	-1.268	-1.777	-3.239	-2.194	-3.673	-2.607	-3.077	-3.117	-2.123	-3.228	-3.532	-2.891	-3.242	-3.374	-2.91	-2.982	-3.916	-4.285	-2.437	-3.903	-2.473	-3.07	-3.454	-3.737	-1.752	-3.045	-3.929	-3.325	-2.396	-3.624	-2.894	-1.715	-3.239	-3.303	-2.711	-3.162	-2.496
hsa-miR-153(2)	-	-	7	157367040	157367061	-	-	-	MI0000464	hsa-mir-153-2	-4.002	-3.529	-4.41	-3.802	-3.412	-3.639	-3.093	-3.862	-4.098	-2.686	-3.202	-2.171	-3.615	-2.154	-3.453	-4.116	-3.687	-0.546	-0.598	-3.167	-1.38	0.793	-2.905	-1.772	-4.257	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.532	-2.891	-4.328	-3.497	-3.606	-4.374	-1.902	-4.285	-2.642	-3.903	-4.028	-3.07	-3.454	-3.785	-1.434	-3.045	-1.706	-2.322	-4.34	-3.624	-2.894	-3.962	-4.513	-3.496	-3.271	-3.162	-3.998
hsa-miR-598	-	-	8	10892730	10892751	-	-	-	MI0003610	hsa-mir-598	-4.002	-1.677	-3.075	-3.802	-3.412	-2.899	-3.093	-2.111	-1.308	-2.645	-3.202	-3.368	-3.147	-3.398	-3.453	-1.46	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.591	-2.26	-4.257	-2.879	-3.98	-3.673	-2.607	-3.213	-3.27	-2.949	-2.661	-3.151	-2.891	-4.328	-3.347	-3.606	-2.578	-3.014	-4.285	-3.176	-3.449	-4.028	-2.918	-3.278	-3.785	-3.661	-1.708	-3.929	-1.905	-4.34	-3.167	-2.894	-3.962	-4.513	-2.298	-4.549	-3.162	-3.998
hsa-miR-486-3p	-	-	8	41517960	41517980	-	-	-	MI0002470	hsa-mir-486	-4.002	-3.529	-4.246	-3.802	-3.412	-3.639	-3.093	-3.862	-4.285	-3.666	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.545	-3.167	1.389	-3.201	-2.905	-2.26	-4.257	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.532	-2.891	-4.328	-3.497	-3.606	-4.374	-2.658	-4.285	-3.176	-3.903	-0.09	-3.07	-3.454	-3.785	-3.661	-3.045	-3.929	-3.366	-4.34	-3.624	-2.894	-3.962	-4.513	-3.496	-3.393	-3.162	-3.998
hsa-miR-486-5p	-	-	8	41517960	41517980	-	-	-	MI0002470	hsa-mir-486	-4.002	-2.488	-2.885	-0.807	-3.412	-3.639	-3.093	-3.862	-3.34	-3.195	-2.589	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-3.429	-2.095	-3.167	3.077	-3.201	-2.905	-1.821	-3.982	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-3.632	-3.228	-2.881	-2.543	-3.778	-3.497	-3.606	-4.374	1.097	-4.285	-3.176	-3.903	1.661	-3.07	-3.454	-3.785	-3.212	-2.46	-3.929	-3.366	-4.282	-3.624	-2.894	-3.854	-3.627	-3.496	-2.839	-3.162	-3.232
hsa-miR-30b	-	-	8	135812774	135812833	-	-	-	MI0000441	hsa-mir-30b	2.679	2.525	1.696	2.166	2.783	1.136	2.105	1.527	1.568	2.419	2.18	2.646	2.092	1.586	1.787	3.353	3.374	1.776	2.214	3.047	2.062	3.033	2.062	1.871	1.513	3.274	2.729	2.972	2.514	4.265	3.017	2.494	3.402	3.167	2.21	2.097	1.904	2.381	1.625	3.558	2.551	1.476	0.916	2.034	0.841	2.852	2.136	2.29	2.472	2.761	2.843	1.613	1.714	1.759	1.293	2.204	2.579	1.463	1.789	0.816
hsa-miR-30b*	-	-	8	135812774	135812833	-	-	-	MI0000441	hsa-mir-30b	-4.002	-3.529	-4.41	-3.802	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-3.653	-2.736	-4.388	-3.458	-3.167	-1.38	-3.024	-2.905	-2.26	-4.257	-3.246	-3.42	-3.66	-2.607	-1.946	-3.318	-4.193	-2.089	-2.785	-2.891	-4.328	-3.497	-3.568	-4.374	-3.101	-4.285	-3.176	-3.903	-4.028	-3.07	-3.423	-3.785	-3.661	-3.045	-3.929	-3.332	-4.34	-3.624	-2.894	-3.962	-4.46	-3.34	-4.549	-3.162	-3.998
hsa-miR-30d	-	-	8	135817121	135817182	-	-	-	MI0000255	hsa-mir-30d	1.541	1.452	0.55	1.563	1.806	0.5	0.964	0.444	0.287	1.24	1.033	1.299	0.705	0.576	0.536	2.36	2.112	0.538	1.286	2.024	1.229	1.797	1.382	0.712	0.581	2.136	1.541	2.185	1.587	3.307	1.843	1.494	2.229	1.909	0.932	0.905	0.947	1.19	0.952	2.526	1.679	0.828	0.202	1.146	0.358	2.028	1.457	1.3	1.557	2.144	1.947	0.809	0.827	1.41	0.908	1.346	1.738	0.708	1.097	0.301
hsa-miR-30d*	-	-	8	135817121	135817182	-	-	-	MI0000255	hsa-mir-30d	-4.002	-3.529	-4.41	-3.802	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-3.997	-3.188	-4.388	-3.545	-3.167	-1.38	-3.136	-2.905	-2.26	-4.257	-3.345	-3.68	-3.673	-2.607	-2.772	-3.36	-4.298	-3.063	-3.126	-2.891	-4.328	-3.497	-3.606	-4.374	-3.45	-4.285	-3.176	-3.903	-4.028	-3.07	-3.454	-3.785	-3.661	-3.045	-3.929	-3.366	-4.34	-3.624	-2.894	-3.962	-4.388	-3.496	-4.549	-3.162	-3.998
hsa-miR-151-3p	-	-	8	141742685	141742705	-	-	-	MI0000809	hsa-mir-151	0.21	0.651	0.406	0.022	0.291	0.534	-0.093	-0.098	-0.786	-0.044	-0.587	-0.16	-0.456	0.586	-0.18	1.687	0.253	-0.916	-3.545	-3.167	-0.173	-3.201	-2.905	-2.26	0.299	-0.137	-0.347	-0.112	-0.089	0.344	-0.254	-0.626	-0.022	-0.007	0.718	-0.26	0.883	-0.048	0.251	1.752	1.46	-0.243	0.039	-0.089	-0.099	1.012	0.62	0.731	0.873	1.444	0.761	-0.084	0.745	0.162	-0.377	0.837	0.691	0.37	0.539	0.138
hsa-miR-151-5p	-	-	8	141742685	141742705	-	-	-	MI0000809	hsa-mir-151	1.751	2.15	2.073	1.626	1.852	2.068	1.309	1.611	1.094	1.639	1.054	1.358	1.517	1.946	0.962	3.213	1.94	0.511	-3.545	-3.167	1.364	-3.201	-2.905	-2.26	1.765	1.858	1.209	1.478	1.533	1.945	1.749	0.639	1.518	1.411	2.384	1.651	2.369	1.435	2.078	3.399	2.926	1.147	1.418	1.377	1.347	2.414	1.908	2.403	2.577	2.983	2.298	1.482	1.979	1.676	1.312	2.33	1.808	2.008	2.285	1.62
hsa-miR-939	-	-	8	145619407	145619430	-	-	-	MI0005761	hsa-mir-939	-0.867	0.519	-1.064	0.689	-0.469	1.097	1.022	-0.579	-0.492	0.422	1.116	-0.258	0.343	-0.071	0.088	-0.822	-0.097	0.537	1.696	1.115	2.229	0.256	1.245	2.087	0.747	0.919	1.087	0.589	0.359	0.931	0.825	0.057	1.111	0.702	-0.004	-1.226	-0.861	0.085	0.029	-1.26	-2.33	0.397	-0.036	-0.116	0.71	1.037	0.817	1.044	1.445	0.59	1.163	0.009	0.817	1.441	1.275	-0.36	1.009	0.633	1.454	0.536
hsa-miR-1234	-	-	8	145625477	145625498	-	-	-	MI0006324	hsa-mir-1234	-2.443	-2.249	-3.103	-1.653	-1.578	-1.252	-1.06	-2.367	-3.114	-2.252	-0.809	-2.176	-1.523	-1.176	-1.594	-3.026	-2.114	-2.351	-0.875	-1.034	-0.85	-2.332	-1.54	-1.36	-0.899	-2.235	-1.642	-2.657	-1.809	-1.537	-2.469	-2.19	-2.232	-2.544	-1.642	-2.696	-2.006	-2.038	-2.253	-2.742	-3.054	-0.706	-3.161	-1.833	-2.034	-2.282	-3.519	-1.286	-1.787	-3.401	-1.571	-2.321	-2.701	-1.887	-1.13	-2.004	-2.756	-2.157	-1.785	-1.474
hsa-miR-101(2)	-	-	9	4850346	4850366	-	-	-	MI0000739	hsa-mir-101-2	0.46	-0.577	-1.469	-0.225	1.189	-1.44	-0.734	-0.155	-1.007	-0.327	-0.451	0.028	0.001	0.023	-0.038	0.05	0.012	0.048	-0.86	1.884	0.481	1.01	0.535	0.365	0.408	-0.088	-0.151	0.425	-0.3	-0.082	-0.413	-0.337	0.151	-0.16	0.422	-1.238	0.318	-0.587	-1.374	0.008	-0.464	-0.554	-0.471	-0.129	-0.83	-0.257	-0.226	-0.501	-0.536	-0.294	1.036	-0.549	-0.407	-1.407	-0.902	-0.728	-1.111	-0.868	-0.411	-0.769
hsa-miR-31	-	-	9	21512119	21512176	-	-	-	MI0000089	hsa-mir-31	-4.002	-3.529	1.167	1.683	-3.412	-3.639	2.943	1.811	-0.026	0.449	1.312	1.507	-3.615	3.97	0.804	4.147	3.396	-1.191	-3.545	-3.167	-1.38	-3.201	-2.667	-2.26	3.224	-3.345	-1.072	-3.075	-1.033	-3.213	-2.971	-4.24	-3.228	-3.532	4.026	1.007	3.951	2.51	-0.337	1.111	-4.285	1.689	3.208	-2.708	4.487	0.029	1.89	0.847	3.376	1.005	2.88	3.751	0.774	1.579	-3.962	2.694	0.487	-1.245	1.566	2.921
hsa-miR-31*	-	-	9	21512119	21512176	-	-	-	MI0000089	hsa-mir-31	-4.002	-3.529	0.397	0.296	-3.412	-3.639	1.984	0.766	-0.992	-0.237	0.962	0.367	-3.615	3.372	0	2.645	2.609	-1.939	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	1.957	-3.345	-2.451	-3.442	-1.18	-3.213	-3.36	-4.655	-3.228	-3.532	3.462	0.332	3.201	1.614	-1.884	0.016	-4.285	0.666	2.957	-3.945	3.387	-0.417	1.376	-0.408	3.162	0.63	2.268	2.069	0.779	0.885	-3.962	1.253	0.073	-2.767	1.465	1.69
