ROWNAME	Name	TissueType	DataSource	OncoTree1	OncoTree2	OncoTree3	OncoTree4
241	EFM-19	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
242	EFM-192A	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
243	EFO-21	ovary: serous_carcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	Serous Ovarian Cancer (SOC)	NA
244	EFO-27	ovary: mucinous_carcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	Mucinous Ovarian Cancer (MOV)	NA
245	EHEB	haematopoietic_and_lymphoid_tissue: chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	CCLE	Blood	Leukemia (LEUK)	Chronic Lymphocytic Leukemia (CLL)	NA
246	EJM	haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma	CCLE	Blood	Multiple Myeloma (MM)	NA	NA
247	EM-2	haematopoietic_and_lymphoid_tissue: blast_phase_chronic_myeloid_leukaemia	CCLE	Blood	Leukemia (LEUK)	Chronic Myelogenous Leukemia (CML)	NA
248	EN	endometrium: carcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
249	EOL-1	haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Myeloid Leukemia (AML)	NA
250	EPLC-272H	lung: squamous_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Squamous Cell Carcinoma (LUSC)	NA
251	ES-2	ovary: clear_cell_carcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	Clear Cell Ovarian Cancer (CCOV)	NA
252	ESS-1	endometrium: carcinosarcoma-malignant_mesodermal_mixed_tumour	CCLE	Uterus	Uterine Sarcoma / Mesenchymal (USARC)	Uterine Carcinosarcoma / Uterine Malignant Mixed Mullerian Tumor (UCS)	NA
253	EVSA-T	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
254	EW8	bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	CCLE	Bone	Ewing Sarcoma (ES)	NA	NA
255	EWS502	bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	CCLE	Bone	Ewing Sarcoma (ES)	NA	NA
256	F-36P	haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Myeloid Leukemia (AML)	NA
257	F5	central_nervous_system: meningioma	CCLE	Brain_CNS	Meningothelial Tumor (MNGT)	Meningioma (MNG)	NA
258	FaDu	upper_aerodigestive_tract: squamous_cell_carcinoma	CCLE	Head_Neck	NA	NA	NA
259	FTC-133	thyroid: follicular_carcinoma	CCLE	Thyroid	Follicular Thyroid Cancer (THFO)	NA	NA
260	FTC-238	thyroid: follicular_carcinoma	CCLE	Thyroid	Follicular Thyroid Cancer (THFO)	NA	NA
261	FU-OV-1	ovary: serous_carcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	Serous Ovarian Cancer (SOC)	NA
262	FU97	stomach: diffuse_adenocarcinoma	CCLE	Esophagus_Stomach	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	NA
263	"G-292, clone A141B1"	bone: osteosarcoma	CCLE	Bone	Osteosarcoma (OS)	NA	NA
264	G-361	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
265	G-401	soft_tissue: rhabdoid_tumour	CCLE	Soft_Tissue	NA	NA	NA
266	G-402	soft_tissue: rhabdoid_tumour	CCLE	Soft_Tissue	NA	NA	NA
267	GA-10	haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Burkitt Lymphoma (BL)
268	GAMG	central_nervous_system: glioma	CCLE	Brain_CNS	NA	NA	NA
269	GB-1	central_nervous_system: astrocytoma_Grade_IV	CCLE	Brain_CNS	Diffuse Glioma (DIFG)	Astrocytoma (ASTR)	NA
270	GCIY	stomach: adenocarcinoma	CCLE	Esophagus_Stomach	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	NA
271	GCT	soft_tissue: malignant_fibrous_histiocytoma-pleomorphic_sarcoma	CCLE	Soft_Tissue	Undifferentiated Pleomorphic Sarcoma / Malignant Fibrous Histiocytoma / High Grade Spindle Cell Sarcoma (MFH)	NA	NA
272	GDM-1	haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Myeloid Leukemia (AML)	NA
273	GI-1	central_nervous_system: gliosarcoma	CCLE	Brain_CNS	Diffuse Glioma (DIFG)	Glioblastoma (GB)	Gliosarcoma (GSARC)
274	GMS-10	central_nervous_system: astrocytoma_Grade_IV	CCLE	Brain_CNS	Diffuse Glioma (DIFG)	Astrocytoma (ASTR)	NA
275	GOS-3	central_nervous_system: astrocytoma	CCLE	Brain_CNS	Diffuse Glioma (DIFG)	Astrocytoma (ASTR)	NA
276	GP2d	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
277	GR-M	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
278	GRANTA-519	haematopoietic_and_lymphoid_tissue: mantle_cell_lymphoma	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Mantle Cell Lymphoma (MCL)
279	GSS	stomach: adenocarcinoma	CCLE	Esophagus_Stomach	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	NA
280	GSU	stomach: adenocarcinoma	CCLE	Esophagus_Stomach	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	NA
281	H4	central_nervous_system: glioma	CCLE	Brain_CNS	NA	NA	NA
282	HARA	lung: squamous_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Squamous Cell Carcinoma (LUSC)	NA
283	HCC-1171	lung: non_small_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	NA	NA
284	HCC-1195	lung: mixed_adenosquamous_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	NA	NA
285	HCC-1359	lung: large_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	NA	NA
286	HCC-1438	lung: large_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	NA	NA
287	HCC-15	lung: squamous_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Squamous Cell Carcinoma (LUSC)	NA
288	HCC-1588	lung: squamous_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Squamous Cell Carcinoma (LUSC)	NA
289	HCC-1833	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
290	HCC-1897	lung: squamous_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Squamous Cell Carcinoma (LUSC)	NA
291	HCC-2108	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
292	HCC-2279	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
293	HCC-2814	lung: squamous_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Squamous Cell Carcinoma (LUSC)	NA
294	HCC-33	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
295	HCC-366	lung: mixed_adenosquamous_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	NA	NA
296	HCC-44	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
297	HCC-56	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
298	HCC-78	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
299	HCC-827-GR5	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
300	HCC-95	lung: squamous_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Squamous Cell Carcinoma (LUSC)	NA
301	HCC1143	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
302	HCC1187	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
303	HCC1395	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
304	HCC1419	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
305	HCC1428	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
306	HCC1500	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
307	HCC1569	breast: metaplastic_carcinoma	CCLE	Breast	Metaplastic Breast Cancer (MBC)	Epithelial Type Metaplastic Breast Cancer (EMBC)	NA
308	HCC1599	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
309	HCC1806	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
310	HCC1937	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
311	HCC1954	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
312	HCC202	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
313	HCC2157	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
314	HCC2218	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
315	HCC2935	lung: non_small_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	NA	NA
316	HCC364	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
317	HCC38	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
318	HCC4006	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
319	HCC70	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
320	HCC827	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
321	HCT 116	large_intestine: carcinoma	CCLE	Bowel	NA	NA	NA
322	HCT-15	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
323	HCT-8	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
324	HD-MY-Z	haematopoietic_and_lymphoid_tissue: Hodgkin_lymphoma	CCLE	Lymph	Hodgkin's Lymphoma (HL)	NA	NA
325	HDLM-2	haematopoietic_and_lymphoid_tissue: Hodgkin_lymphoma	CCLE	Lymph	Hodgkin's Lymphoma (HL)	NA	NA
326	HDQ-P1	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
327	HEC-1-A	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
328	HEC-1-B	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
329	HEC-108	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
330	HEC-151	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
331	HEC-251	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
332	HEC-265	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
333	HEC-50B	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
334	HEC-59	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
335	HEC-6	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
336	HEK TE	kidney: immortalized_epithelial	CCLE	Kidney	Renal Cell Carcinoma (RCC)	NA	NA
337	HEL	haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Myeloid Leukemia (AML)	NA
338	HEL 92.1.7	haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Myeloid Leukemia (AML)	NA
339	Hep 3B2.1-7	liver: hepatocellular_carcinoma	CCLE	Liver	Hepatocellular Carcinoma (HCC)	NA	NA
340	Hep G2	liver: hepatocellular_carcinoma	CCLE	Liver	Hepatocellular Carcinoma (HCC)	NA	NA
341	Hey-A8	ovary: carcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
342	HGC-27	stomach: undifferentiated_adenocarcinoma	CCLE	Esophagus_Stomach	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	NA
343	HH	haematopoietic_and_lymphoid_tissue: adult_T_cell_lymphoma-leukaemia	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	T-Cell and Natural Killer Lymphoma (TNKL)	NA
344	HK-2	kidney: immortalized_epithelial	CCLE	Kidney	Renal Cell Carcinoma (RCC)	NA	NA
345	HL-60	haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Myeloid Leukemia (AML)	NA
346	HLC-1	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
347	HLE	liver: hepatocellular_carcinoma	CCLE	Liver	Hepatocellular Carcinoma (HCC)	NA	NA
348	HLF	liver: hepatocellular_carcinoma	CCLE	Liver	Hepatocellular Carcinoma (HCC)	NA	NA
349	HLF-a	lung: squamous_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Squamous Cell Carcinoma (LUSC)	NA
350	HMC-1-8	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
351	HMCB	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
352	HMEL	breast: immortalized_epithelial	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
353	HOS	bone: osteosarcoma	CCLE	Bone	Osteosarcoma (OS)	NA	NA
354	HPAC	pancreas: ductal_carcinoma	CCLE	Pancreas	Pancreatic Adenocarcinoma (PAAD)	NA	NA
355	HPAF-II	pancreas: ductal_carcinoma	CCLE	Pancreas	Pancreatic Adenocarcinoma (PAAD)	NA	NA
356	HPB-ALL	haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_T_cell_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Lymphoid Leukemia (ALL)	NA
357	Hs 172.T	urinary_tract: carcinoma	CCLE	Bladder_Urinary_Tract	NA	NA	NA
358	Hs 229.T	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
359	Hs 255.T	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
360	Hs 274.T	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
361	Hs 281.T	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
362	Hs 294T	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
363	Hs 343.T	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
364	Hs 571.T	ovary: carcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
365	Hs 578T	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
366	Hs 600.T	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
367	Hs 604.T	haematopoietic_and_lymphoid_tissue: Hodgkin_lymphoma	CCLE	Lymph	Hodgkin's Lymphoma (HL)	NA	NA
368	Hs 606.T	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
369	Hs 611.T	haematopoietic_and_lymphoid_tissue: Hodgkin_lymphoma	CCLE	Lymph	Hodgkin's Lymphoma (HL)	NA	NA
370	Hs 616.T	haematopoietic_and_lymphoid_tissue: Hodgkin_lymphoma	CCLE	Lymph	Hodgkin's Lymphoma (HL)	NA	NA
371	Hs 618.T	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
372	Hs 675.T	large_intestine: carcinoma	CCLE	Bowel	NA	NA	NA
373	Hs 683	central_nervous_system: glioma	CCLE	Brain_CNS	NA	NA	NA
374	Hs 688(A).T	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
375	Hs 695T	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
376	Hs 698.T	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
377	Hs 706.T	bone: giant_cell_tumour	CCLE	Bone	Giant Cell Tumor of Bone (GCTB)	NA	NA
378	Hs 729	soft_tissue: rhabdomyosarcoma	CCLE	Soft_Tissue	Rhabdomyosarcoma (RMS)	NA	NA
379	Hs 737.T	bone: giant_cell_tumour	CCLE	Bone	Giant Cell Tumor of Bone (GCTB)	NA	NA
380	Hs 739.T	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
381	Hs 742.T	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
382	Hs 746T	stomach: carcinoma	CCLE	Esophagus_Stomach	NA	NA	NA
383	Hs 751.T	haematopoietic_and_lymphoid_tissue: Hodgkin_lymphoma	CCLE	Lymph	Hodgkin's Lymphoma (HL)	NA	NA
384	Hs 766T	pancreas: ductal_carcinoma	CCLE	Pancreas	Pancreatic Adenocarcinoma (PAAD)	NA	NA
385	Hs 819.T	bone: chondrosarcoma	CCLE	Bone	Chondrosarcoma (CHS)	NA	NA
386	Hs 821.T	bone: giant_cell_tumour	CCLE	Bone	Giant Cell Tumor of Bone (GCTB)	NA	NA
387	Hs 822.T	bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	CCLE	Bone	Ewing Sarcoma (ES)	NA	NA
388	Hs 834.T	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
389	Hs 839.T	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
390	Hs 840.T	upper_aerodigestive_tract: papilloma	CCLE	Head_Neck	NA	NA	NA
391	Hs 852.T	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
392	Hs 863.T	bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	CCLE	Bone	Ewing Sarcoma (ES)	NA	NA
393	Hs 870.T	bone: osteosarcoma	CCLE	Bone	Osteosarcoma (OS)	NA	NA
394	Hs 888.T	bone: osteosarcoma	CCLE	Bone	Osteosarcoma (OS)	NA	NA
395	Hs 895.T	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
396	Hs 934.T	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
397	Hs 936.T	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
398	Hs 939.T	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
399	Hs 940.T	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
400	Hs 944.T	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
401	HSC-2	upper_aerodigestive_tract: squamous_cell_carcinoma	CCLE	Head_Neck	NA	NA	NA
402	HSC-3	upper_aerodigestive_tract: squamous_cell_carcinoma	CCLE	Head_Neck	NA	NA	NA
403	HSC-4	upper_aerodigestive_tract: squamous_cell_carcinoma	CCLE	Head_Neck	NA	NA	NA
404	HT	haematopoietic_and_lymphoid_tissue: B_cell_lymphoma_unspecified	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	NA
405	HT-1080	soft_tissue: fibrosarcoma	CCLE	Soft_Tissue	Fibrosarcoma (FIBS)	NA	NA
406	HT-1197	urinary_tract: carcinoma	CCLE	Bladder_Urinary_Tract	NA	NA	NA
407	HT-1376	urinary_tract: transitional_cell_carcinoma	CCLE	Bladder_Urinary_Tract	Bladder Urothelial Carcinoma (BLCA)	NA	NA
408	HT-144	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
409	HT-29	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
410	HT115	large_intestine: carcinoma	CCLE	Bowel	NA	NA	NA
411	HT55	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
412	HTK-	haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma	CCLE	Blood	Multiple Myeloma (MM)	NA	NA
413	HuCCT1	biliary_tract: carcinoma	CCLE	Biliary_Tract	NA	NA	NA
414	HuG1-N	stomach: carcinoma	CCLE	Esophagus_Stomach	NA	NA	NA
415	huH-1	liver: hepatocellular_carcinoma	CCLE	Liver	Hepatocellular Carcinoma (HCC)	NA	NA
416	HuH-6	liver: hepatoblastoma	CCLE	Liver	Hepatoblastoma (LIHB)	NA	NA
417	HuH-7	liver: hepatocellular_carcinoma	CCLE	Liver	Hepatocellular Carcinoma (HCC)	NA	NA
418	HuH28	biliary_tract: carcinoma	CCLE	Biliary_Tract	NA	NA	NA
419	HuNS1	haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma	CCLE	Blood	Multiple Myeloma (MM)	NA	NA
420	HUP-T3	pancreas: carcinoma	CCLE	Pancreas	NA	NA	NA
421	HUP-T4	pancreas: carcinoma	CCLE	Pancreas	NA	NA	NA
422	HuT 102	haematopoietic_and_lymphoid_tissue: mycosis_fungoides-Sezary_syndrome	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	T-Cell and Natural Killer Lymphoma (TNKL)	NA
423	HuT 78	haematopoietic_and_lymphoid_tissue: mycosis_fungoides-Sezary_syndrome	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	T-Cell and Natural Killer Lymphoma (TNKL)	NA
424	HuTu 80	small_intestine: adenocarcinoma	CCLE	Bowel	Small Bowel Cancer (SBC)	NA	NA
425	IA-LM	lung: large_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	NA	NA
426	IGR-1	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
427	IGR-37	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
428	IGR-39	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
429	IGROV1	ovary: adenocarcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
430	IM95	stomach: intestinal_adenocarcinoma	CCLE	Esophagus_Stomach	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	NA
431	IMR-32	autonomic_ganglia: neuroblastoma	CCLE	Brain_CNS	Embryonal Tumor (EMBT)	Neuroblastoma (NBL)	NA
432	IOMM-Lee	central_nervous_system: meningioma	CCLE	Brain_CNS	Meningothelial Tumor (MNGT)	Meningioma (MNG)	NA
433	IPC-298	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
434	Ishikawa (Heraklio) 02 ER-	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
435	IST-MES1	pleura: mesothelioma	CCLE	Mesothelium	Mesothelioma (MESO)	NA	NA
436	IST-MES2	pleura: mesothelioma	CCLE	Mesothelium	Mesothelioma (MESO)	NA	NA
437	J82	urinary_tract: transitional_cell_carcinoma	CCLE	Bladder_Urinary_Tract	Bladder Urothelial Carcinoma (BLCA)	NA	NA
438	JeKo-1	haematopoietic_and_lymphoid_tissue: mantle_cell_lymphoma	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Mantle Cell Lymphoma (MCL)
439	JH-EsoAd1	oesophagus: barrett_associated_adenocarcinoma	CCLE	Esophagus_Stomach	Esophagogastric Adenocarcinoma (EGC)	NA	NA
440	JHH-1	liver: hepatocellular_carcinoma	CCLE	Liver	Hepatocellular Carcinoma (HCC)	NA	NA
441	JHH-2	liver: hepatocellular_carcinoma	CCLE	Liver	Hepatocellular Carcinoma (HCC)	NA	NA
442	JHH-4	liver: hepatocellular_carcinoma	CCLE	Liver	Hepatocellular Carcinoma (HCC)	NA	NA
443	JHH-5	liver: hepatocellular_carcinoma	CCLE	Liver	Hepatocellular Carcinoma (HCC)	NA	NA
444	JHH-6	liver: hepatocellular_carcinoma	CCLE	Liver	Hepatocellular Carcinoma (HCC)	NA	NA
445	JHH-7	liver: hepatocellular_carcinoma	CCLE	Liver	Hepatocellular Carcinoma (HCC)	NA	NA
446	JHOC-5	ovary: clear_cell_carcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	Clear Cell Ovarian Cancer (CCOV)	NA
447	JHOM-1	ovary: adenocarcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
448	JHOM-2B	ovary: adenocarcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
449	JHOS-2	ovary: adenocarcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
450	JHOS-4	ovary: adenocarcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
451	JHUEM-1	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
452	JHUEM-2	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
453	JHUEM-3	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
454	JIMT-1	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
455	JJN-3	haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma	CCLE	Blood	Multiple Myeloma (MM)	NA	NA
