""	"NSC"	"NAME"	"SMILES"	"CONFIDENTIAL_FLAG"	"MOA"	"FDA_STATUS"	"TOTAL_EXPS"	"TOTAL_EXPS_AFTER_QC"	"PUBCHEM_SID"	"CAS"
"111654"	111654	"4-(Tricyclo[3.3.1.13,7]dec-1-ylsulfanyl)aniline"	"Nc1ccc(SC23CC4CC(CC(C4)C2)C3)cc1"	0	""	""	1	1	"269934"	"56714886"
"111702"	111702	"p-dioxane-2-methanol, 3,5-dihydroxy-6-[6-(methylthio)-9h..."	"CSc1ncnc2c1ncn2C3OC(CO)C(O)OC3O"	0	""	""	2	2	"269951"	"51112620"
"112125"	112125	"tptz (iron reagent)"	"c1ccc(nc1)c2nc(nc(n2)c3ccccn3)c4ccccn4"	0	""	""	1	1	"77258"	"3682357"
"112147"	112147	"[16-(Aziridin-1-ylmethyl)-10,13-dimethyl-17-oxo-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-yl] acetate"	"CC(=O)OC1CCC2(C)C3CCC4(C)C(CC(CN5CC5)C4=O)C3CC=C2C1"	0	""	""	2	2	"270053"	"10475000"
"112152"	112152	"Plumericin"	"COC(=O)C1=CO[C@@H]2O[C@H]3\C(=C/C)\C(=O)O[C@]34C=C[C@H]1[C@H]24"	0	NA	NA	6	3	"409876"	"77167"
"112166"	112166	"Cucurbitacin K"	"CC(C)(O)C(O)CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(O)C(=O)C4(C)C)C3(C)C(=O)CC12C"	0	NA	NA	9	4	"409890"	"6766434"
"112167"	112167	"elatericin b"	"CC(C)(O)\C=C\C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C"	0	""	""	9	4	"5281321"	"2222073"
"112200"	112200	"2,5-Dibromo-3,6-dimethylbenzene-1,4-diol;2,5-dibromo-3,6-dimethylcyclohexa-2,5-diene-1,4-dione"	"CC1=C(Br)C(=O)C(=C(Br)C1=O)C.Cc2c(O)c(Br)c(C)c(O)c2Br"	0	""	""	2	2	"270077"	NA
"112257"	112257	"fenakrom blue xr"	"[Na+].Cc1cc(cc(C(=O)O)c1O)C2(OS(=O)(=O)c3ccccc23)c4cc(C)c(O)c(c4)C(=O)O"	0	NA	NA	1	1	"554995"	"3564189"
"112535"	112535	"s-triazine, 4,6-diamino-1,2-dihydro-2,2-dimethyl-1-[m-[2..."	"CC1(C)N=C(N)N=C(N)N1c2cccc(OCCOc3ccc(cc3)[N+](=O)[O-])c2"	0	NA	NA	1	1	"555042"	"19157927"
"112751"	112751	"4-Chloro-2-((3-quinolinylimino)methyl)phenol"	"Oc1ccc(Cl)cc1\C=N\c2cnc3ccccc3c2"	0	""	""	2	2	"270355"	NA
"112758"	112758	"rubomycin"	"COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)C"	0	NA	NA	2	2	"555066"	NA
"112796"	112796	"1-Benzyl-2-(benzyloxy)imidazolidine"	"C(OC1NCCN1Cc2ccccc2)c3ccccc3"	0	""	""	1	1	"270389"	NA
"112846"	112846	"quinaspar"	"Nc1nc(N)c2cc(CNc3ccc(cc3)C(=O)NC(CC(=O)O)C(=O)O)ccc2n1"	0	NA	NA	2	2	"555076"	"18921658"
"112849"	112849	"AT-051/43422431"	"NC(=N)Nc1ccc(\C=C/2\C=Cc3ccccc23)cc1"	0	""	""	2	1	"6474733"	"30117705"
"112929"	112929	"sennoside a (8ci)"	"OCC1OC(Oc2cccc3C(C4c5cccc(OC6OC(CO)C(O)C(O)C6O)c5C(=O)c7c(O)cc(cc47)C(=O)O)c8cc(cc(O)c8C(=O)c23)C(=O)O)C(O)C(O)C1O"	0	NA	NA	1	1	"555084"	"81276"
"112938"	112938	"4,4,4-Triphenylbutanoic acid"	"OC(=O)CCC(c1ccccc1)(c2ccccc2)c3ccccc3"	0	""	""	2	1	"270495"	"16778099"
"112960"	112960	"ethyl N-hydroxy-N-[4-[(E)-2-phenylethenyl]phenyl]carbamate"	"CCOC(=O)N(O)c1ccc(\C=C\c2ccccc2)cc1"	0	""	""	2	2	"6304618"	NA
"112965"	112965	"BRD-K68192143-001-01-5"	"ON(C(=O)CF)c1ccc(\C=C\c2ccccc2)cc1"	0	""	""	2	2	"5976008"	NA
"113053"	113053	"J3.522.543I"	"COC(=O)\C=C\C=C(c1ccccc1)c2ccccc2"	0	""	""	1	1	"6163542"	NA
"113112"	113112	"phosphinic amide, p,p-bis(2,2-dimethyl-1-aziridinyl)-n-2..."	"CC1(C)CN1P(=O)(Nc2ncccn2)N3CC3(C)C"	0	""	""	1	1	"270614"	NA
"113130"	113130	"Isopropyltriphenylphosphonium bromide"	"CC(C)[P+](c1ccccc1)(c2ccccc2)c3ccccc3"	0	""	""	1	1	"2795292"	"1530332"
"113136"	113136	"Mansonone F"	"CC1=COC2=C(C)C(=O)C(=O)c3c(C)ccc1c23"	0	""	""	2	2	"94304"	"5090880"
"113137"	113137	"salmotin"	"CC1(C)SC2C(NC(=O)CCCC(N)C(=O)O)C(=O)N2C1C(=O)O"	0	NA	NA	6	2	"410541"	"525940"
"113220"	113220	"benzenesulfonyl fluoride, 4-[[3-[4-(4,6-diamino-2,2-dime..."	"CC1(C)N=C(N)N=C(N)N1c2ccc(CCC(=O)Nc3ccc(cc3)S(=O)(=O)F)cc2"	0	""	""	2	2	"270636"	"19188626"
"113237"	113237	""	"CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC4N(CCc5cc(OC)c(OC)cc45)C(=O)C(N)Cc6ccccc6"	0	NA	NA	1	1	"555117"	NA
"113423"	113423	"baker's antifol"	"Cc1cc(NC(=O)CCc2ccc(cc2)N3C(=NC(=NC3(C)C)N)N)ccc1S(=O)(=O)F"	0	""	""	2	2	"64840"	"21321039"
"113452"	113452	"3-(3-(3-Cycloheptylphenyl)propyl)-2-hydroxynaphthalene-1,4-dione"	"OC1=C(CCCc2ccc(cc2)C3CCCCCC3)C(=O)c4ccccc4C1=O"	0	""	""	2	2	"270723"	"17089144"
"113455"	113455	"3-(3-(3-Cyclohexylphenyl)propyl)-2-hydroxynaphthalene-1,4-dione"	"OC1=C(CCCc2ccc(cc2)C3CCCCC3)C(=O)c4ccccc4C1=O"	0	""	""	1	1	"270725"	"18100179"
"113497"	113497	"gedunin"	"CC(=O)OC1CC2C(C)(C)C(=O)C=CC2(C)C3CCC4(C)C(OC(=O)C5OC45C13C)c6cocc6"	0	NA	NA	1	1	"410685"	"2753302"
"113764"	113764	"u 32027"	"O=C1NC(Nc2ccccc12)c3ccccc3"	0	""	""	3	2	"270800"	"954916"
"113802"	113802	"2-(4-Chlorophenyl)-1-hydroxy-1h-indole-3-carbonitrile"	"On1c(c2ccc(Cl)cc2)c(C#N)c3ccccc13"	0	""	""	1	1	"270811"	NA
"113908"	113908	"3-[3-[4-(4,6-Diamino-2,2-dimethyl-1,3,5-triazin-1-yl)phenyl]propanoylamino]benzenesulfonyl fluoride;ethanesulfonic acid"	"CC1(C)N=C(N)N=C(N)N1c2ccc(CCC(=O)Nc3cccc(c3)S(=O)(=O)F)cc2"	0	""	""	1	1	"270820"	"19160248"
"113918"	113918	"4-[4-[4-(4,6-diamino-2,2-dimethyl-1,3,5-triazin-1-yl)phenyl]butanoylamino]benzenesulfonyl Fluoride"	"CC1(C)N=C(N)N=C(N)N1c2ccc(CCCC(=O)Nc3ccc(cc3)S(=O)(=O)F)cc2"	0	""	""	2	2	"270832"	"19160259"
"113926"	113926	"rifa"	"CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)\C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)\C)c(\C=N\N5CCN(C)CC5)c(O)c4c3C2=O"	0	""	"FDA approved"	1	1	"135398735"	"13292461"
"113943"	113943	"6-bromosangivamycin"	"NC(=O)c1c(Br)n(C2OC(CO)C(O)C2O)c3ncnc(N)c13"	0	NA	NA	3	3	"410790"	"20201563"
"113951"	113951	"6-Bromotoyocamycin"	"Nc1ncnc2c1c(C#N)c(Br)n2C3OC(CO)C(O)C3O"	0	NA	NA	3	2	"410798"	"20201552"
"114016"	114016	"5,11-Dimethyl-3,4,7,8,9,10-hexahydro[1]benzofuro[2,3-g]isoquinoline"	"Cc1c2CCN=Cc2c(C)c3c4CCCCc4oc13"	0	""	""	1	1	"270883"	"23018259"
"114340"	114340	"ophiobolin"	"CC1CC(OC12CCC3(C)CC4C(C(=O)CC4(C)O)\C(=C/CC23)\C=O)C=C(C)C"	0	NA	NA	2	2	"410945"	"4611056"
"114341"	114341	"Caerulomycin"	"COc1cc(\C=N/O)nc(c1)c2ccccn2"	0	""	""	2	2	"135478684"	"19462078"
"114345"	114345	"u 27744"	"COC(=O)C1c2cc3C(=O)c4c5OC6OC(C)(C(O)C(C6O)N(C)C)c5cc(O)c4C(=O)c3c(O)c2CCC1(C)O"	0	""	""	1	1	"151719"	"62422008"
"114346"	114346	"Diethyl(acetylamino)({6-[bis(2-hydroxyethyl)amino]-1h-indol-3-yl}methyl)propanedioate"	"CCOC(=O)C(Cc1c[nH]c2cc(ccc12)N(CCO)CCO)(NC(=O)C)C(=O)OCC"	0	""	""	2	1	"270973"	NA
"114381"	114381	"3,5-Dibromo-4-[2-(8-oxoquinolin-5-ylidene)hydrazinyl]benzenesulfonamide"	"NS(=O)(=O)c1cc(Br)c(N=Nc2ccc(O)c3ncccc23)c(Br)c1"	0	""	""	1	1	"271001"	"39150442"
"114382"	114382	"SC-60646"	"Cc1cc(Nc2ccc(cc2)N=Nc3ccc(O)c4ncccc34)nc(C)n1"	0	""	""	2	1	"419381"	NA
"114384"	114384	"4-[(8-hydroxyquinolin-5-yl)diazenyl]-N-pyridin-2-ylbenzenesulfonamide"	"Oc1ccc(N=Nc2ccc(cc2)S(=O)(=O)Nc3ccccn3)c4cccnc14"	0	""	""	2	2	"419383"	"29821918"
"114512"	114512	"Acetyloxy-[[5-(acetyloxymercuriomethyl)-2,5-dimethyl-1,4-dioxan-2-yl]methyl]mercury"	"CC(=O)O[Hg]CC1(C)COC(C)(C[Hg]OC(=O)C)CO1"	0	""	""	2	2	"16683716"	NA
"114514"	114514	"4-[(2,4-Diaminopyrimidin-5-yl)methyl-methylamino]benzoic acid;hydrobromide"	"CN(Cc1cnc(N)nc1N)c2ccc(cc2)C(=O)O"	0	""	""	1	1	"24190776"	"20781128"
"114567"	114567	"eupachlorin"	"C\C=C(/C)\C(=O)OC1CC(O)(CCl)C2C(O)C=C(C)C2(O)C3OC(=O)C(=C)C13"	0	""	""	2	2	"5458217"	"20071505"
"114568"	114568	"eupachlorin acetate"	"C\C=C(/C)\C(=O)OC1CC(O)(CCl)C2C(OC(=O)C)C=C(C)C2(O)C3OC(=O)C(=C)C13"	0	""	""	2	2	"5458218"	"20501524"
"114570"	114570	"eupachloroxin"	"C\C=C(/C)\C(=O)OC1CC(O)(CCl)C2C(O)C3OC3(C)C2(O)C4OC(=O)C(=C)C14"	0	""	""	1	1	"5917065"	"20071527"
"114572"	114572	"ryanodine"	"CC(C)C1(O)C(OC(=O)c2ccc[nH]2)C3(O)C4(C)CC5(O)OC6(C(O)C(C)CCC46O)C3(O)C15C"	0	NA	NA	2	1	"555278"	NA
"114575"	114575	"Mitoclomine"	"COc1c(C)cc(N(CCCl)CCCl)c2ccccc12"	0	""	""	1	1	"28694"	"17692545"
"114696"	114696	""	"Brc1cc2c(Cc3ccccc23)cc1[N+]#N"	0	NA	NA	1	1	"555300"	NA
"114766"	114766	"2-(((Aminocarbonyl)amino)carbonyl)cyclohexanecarboxylic acid"	"NC(=O)NC(=O)C1CCCCC1C(=O)O"	0	""	""	1	1	"271298"	NA
"114781"	114781	"Pederin"	"COC[C@H](C[C@H]1O[C@@H](C[C@@H](O)C1(C)C)[C@@H](NC(=O)[C@@H](O)[C@]2(CC(=C)[C@@H](C)[C@@H](C)O2)OC)OC)OC"	0	NA	NA	2	1	"411302"	"27973724"
"115447"	115447	"1,4-diaminoanthraquinone-2,3-dicarboximide"	"Nc1c2C(=O)NC(=O)c2c(N)c3C(=O)c4ccccc4C(=O)c13"	0	""	""	2	2	"67192"	"128814"
"115497"	115497	"toxifren"	"CCCC(=O)C1=C(O)C(C)(C)C(=C(Cc2c(O)c(C)c(O)c(C(=O)CCC)c2O)C1=O)O"	0	""	""	1	1	"8237"	"114421"
"115526"	115526	"3,4-dimethylpyrazolo[3,2-c]-as-triazine"	"Cc1nnc2ccnn2c1C"	0	""	""	1	1	"271622"	"6726494"
"115610"	115610	"[3,4,5-triacetyloxy-6-[(3-acetyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-2,4-dihydro-1H-tetracen-1-yl)oxy]oxan-2-yl]methyl acetate"	"COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5OC(COC(=O)C)C(OC(=O)C)C(OC(=O)C)C5OC(=O)C)c4c(O)c3C(=O)c12)C(=O)C"	0	""	""	1	1	"419515"	NA
"115618"	115618	"3-(4-Nitrobenzyl)-1,3-dihydro-2h-indol-2-one"	"[O-][N+](=O)c1ccc(CC2C(=O)Nc3ccccc23)cc1"	0	""	""	1	1	"271691"	"13220445"
"115625"	115625	"((3-(2-aminoethyl)-1H-indol-5-yl)oxy)(oxo)acetic acid"	"NCCc1c[nH]c2ccc(OC(=O)C(=O)O)cc12"	0	""	""	1	1	"271694"	"319711"
"115684"	115684	""	"O=C(C[P+](c1ccccc1)(c2ccccc2)c3ccccc3)C[P+](c4ccccc4)(c5ccccc5)c6ccccc6"	0	NA	NA	2	1	"555427"	"4885578"
"115712"	115712	"tubercidin 3', 5'-cyclic phosphate sesquihydrate"	"Nc1ncnc2c1ccn2C3OC4COP(=O)(O)OC4C3O"	0	NA	NA	2	2	"411841"	"16719361"
"115829"	115829	"cb 954"	"NC(=O)c1cc(N2CC2)c(cc1[N+](=O)[O-])[N+](=O)[O-]"	0	""	""	4	1	"89105"	"21919051"
"115855"	115855	"1,2,7-Trimethylnaphthalene;2,4,6-trinitrobenzene-1,3-diol"	"Cc1ccc2ccc(C)c(C)c2c1.Oc3c(cc(c(O)c3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]"	0	""	""	2	1	"271872"	NA
"115892"	115892	"Quinolin-8-ol; xanthen-9-one"	"Oc1cccc2cccnc12.O=C3c4ccccc4Oc5ccccc35"	0	""	""	1	1	"271897"	NA
"115905"	115905	"euchrysin"	"Cc1cc2c(C)c3cc(C)c(N)cc3nc2cc1N"	0	""	""	2	1	"72769"	"4215956"
"115928"	115928	"benzonitrile, 3-(4,6-diamino-2,2-dimethyl-1,3,5-triazin-..."	"CC1(C)N=C(N)N=C(N)N1c2cccc(c2)C#N"	0	""	""	1	1	"271921"	"70743565"
"115980"	115980	"N-[(E)-[2-chloro-4-(dimethylamino)phenyl]methylideneamino]naphthalene-1-carboxamide"	"CN(C)c1ccc(\C=N\NC(=O)c2cccc3ccccc23)c(Cl)c1"	0	""	""	1	1	"9568495"	NA
"116280"	116280	"7h-pyrrolo[2,3-d]pyrimidine-5-carboxamide, 4-amino-7-.be..."	"NC(=O)c1cn(C2OC(CO)C(O)C2O)c3nc[n+]([O-])c(N)c13"	0	""	""	2	2	"3691874"	NA
"116282"	116282	"7h-pyrrolo[2,3-d]pyrimidine-5-carbohydroximic acid, 4-am..."	"Nc1ncnc2c1c(cn2C3OC(CO)C(O)C3O)C(=O)NO"	0	""	""	2	1	"54603433"	"21090426"
"116336"	116336	"Dehydroheliotridine"	"OCc1ccn2CC[C@H](O)c12"	0	NA	NA	1	1	"412220"	"26400248"
"116491"	116491	"12-((4-methyl-1-piperazinyl)acetyl)-12H-benzo[b]phenothiazine"	"CN1CCN(CC(=O)N2c3ccccc3Sc4cc5ccccc5cc24)CC1"	0	""	""	1	1	"272209"	"18587274"
"116535"	116535	"indole-2,3-dione, 3-[(pentafluorophenyl)hydrazone]"	"Fc1c(F)c(F)c(N\N=C\2/C(=O)Nc3ccccc23)c(F)c1F"	0	""	""	2	2	"272247"	"21231389"
"116536"	116536	"ARONIS002269"	"[O-][N+](=O)c1ccc(N\N=C\2/C(=O)Nc3ccccc23)cc1"	0	""	""	2	2	"3776068"	"31107069"
"116555"	116555	"nogalamycin-n-oxide"	"COC1C(C)OC(OC2CC(C)(O)C(C(=O)OC)c3cc4C(=O)c5c6OC7OC(C)(C(O)C(C7O)[N+](C)(C)[O-])c6cc(O)c5C(=O)c4cc23)C(OC)C1(C)OC"	0	""	""	2	2	"272259"	NA
"116590"	116590	"2-Cyclohexyl-3-(3-nitrophenyl)oxaziridine"	"[O-][N+](=O)c1cccc(c1)C2ON2C3CCCCC3"	0	""	""	1	1	"272286"	"23898579"
"116640"	116640	"pyrrole-3-carbonitrile, 2-(1-isoquinolyl)-5-phenyl-"	"N#Cc1cc([nH]c1c2nccc3ccccc23)c4ccccc4"	0	""	""	1	1	"272334"	NA
"116661"	116661	""	"C(c1ccccc1)P(c2ccccc2)(C34C5=C6C7=C3[Fe]456789%10%11C%12C8=C9C%10=C%11%12)C%13%14C%15=C%16C%17=C%13[Fe]%14%15%16%17%18%19%20%21C%22C%18=C%19C%20=C%21%22"	0	NA	NA	1	1	"555570"	NA
"116689"	116689	""	"Cc1ccc(cc1)[P+](Cc2ccc(cc2)[N+](=O)[O-])(c3ccc(C)cc3)c4ccc(C)cc4"	0	NA	NA	1	1	"555583"	NA
"116692"	116692	""	"Cc1ccc(cc1)[S+](c2ccccc2)c3cc(C)ccc3C"	0	NA	NA	1	1	"555585"	"4024117"
"116693"	116693	"2,3-Dibenzoyloxy-4-hydroxy-4-oxobutanoate;(2,5-dimethylphenyl)-(4-methylphenyl)-phenylsulfanium"	"Cc1ccc(cc1)[S+](c2ccccc2)c3cc(C)ccc3C.OC(=O)C(OC(=O)c4ccccc4)C(OC(=O)c5ccccc5)C(=O)[O-]"	0	""	""	2	2	"5351228"	NA
"116702"	116702	"isoquinoline, 1-(5-phenyl-4-p-tolyl-2-oxazolyl)-"	"Cc1ccc(cc1)c2nc(oc2c3ccccc3)c4nccc5ccccc45"	0	""	""	1	1	"272358"	NA
"116716"	116716	""	"Cc1ccccc1[P+](Cc2ccccc2)(c3ccccc3)c4ccccc4"	0	NA	NA	1	1	"555595"	"14479517"
"116717"	116717	""	"Cc1ccc(cc1)[P+](Cc2ccccc2)(c3ccccc3)c4ccccc4"	0	NA	NA	1	1	"555596"	"13432865"
"116758"	116758	"7-nitro-9H-fluorene-2-carboxylic acid"	"OC(=O)c1ccc2c(Cc3cc(ccc23)[N+](=O)[O-])c1"	0	""	""	1	1	"272395"	NA
"116787"	116787	"venenatine"	"COC1C(O)C(C)OC(O[C@H]2C[C@@H](O)[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3CC[C@]5(C)[C@H](CC[C@]45O)C6=CC(=O)OC6)C2)C1O"	0	NA	NA	2	2	"412572"	"663956"
"116789"	116789	"acovenoside b"	"COC1C(O)C(C)OC(OC2CC3CCC4C(CCC5(C)C(CCC45O)C6=CC(=O)OC6)C3(O)C(C2)OC(=O)C)C1O"	0	""	""	2	2	"272418"	NA
"116878"	116878	"cardiac glycoside"	NA	0	NA	NA	2	1	"412637"	NA
"117011"	117011	"AG-205/37066085"	"Cc1ccc(NC2=CC(=O)C(=O)c3ccccc23)c(C)c1"	0	""	""	1	1	"272555"	"69085387"
"117015"	117015	"4-[(3-Bromophenyl)amino]naphthalene-1,2-dione"	"Brc1cccc(NC2=CC(=O)C(=O)c3ccccc23)c1"	0	""	""	1	1	"272559"	NA
"117017"	117017	""	"[O-][N+](=O)c1ccc(NC2=CC(=O)C(=O)c3ccccc23)cc1"	0	NA	NA	1	1	"412728"	"75140055"
"117024"	117024	""	"Cc1ccc(NC2=CC(=O)C(=O)c3ccccc23)cc1"	0	NA	NA	1	1	"412734"	"69085398"
"117028"	117028	"8-quinolinol, 5-bromo-7-[(4-phenyl-1-piperazinyl)methyl]-"	"Oc1c(CN2CCN(CC2)c3ccccc3)cc(Br)c4cccnc14"	0	""	""	2	2	"272568"	"500363622"
"117180"	117180	"1.alpha.,2.alpha.-epxoyscillirosidin"	"CC(=O)OC1CC2(O)C(CCC3(C)C(CCC23O)C4=COC(=O)C=C4)C5(C)C6OC6C(O)C=C15"	0	""	""	5	1	"272581"	"10262392"
"117181"	117181	"cyclopiazonic acid"	"CC(=O)C1=C(O)C2C3C(Cc4cccc5[nH]cc3c45)C(C)(C)N2C1=O"	0	NA	NA	1	1	"412757"	"18172333"
"117185"	117185	"2-[(E)-2-(1H-Indol-3-yl)ethenyl]-1-methylquinolin-1-ium iodide"	"C[n+]1c(\C=C\c2c[nH]c3ccccc23)ccc4ccccc14"	0	""	""	1	1	"54610240"	"76384480"
"117186"	117186	"Acetalax"	"CC(=O)Oc1ccc(cc1)C2(C(=O)Nc3ccccc23)c4ccc(OC(=O)C)cc4"	0	"NonCan:Cath"	"FDA approved"	2	2	"-1"	"115333"
"117187"	117187	"indole-2,3-dione, 5,7-dichloro-, 3-[(o-nitrophenyl) hydr..."	"[O-][N+](=O)c1ccccc1N\N=C\2/C(=O)Nc3c(Cl)cc(Cl)cc23"	0	""	""	3	2	"3724036"	"21231345"
"117188"	117188	"7-Chloro-3-[2-(2-nitrophenyl)hydrazinyl]indol-2-one"	"[O-][N+](=O)c1ccccc1N\N=C\2/C(=O)Nc3c(Cl)cccc23"	0	""	""	3	2	"3755584"	"21303457"
"117191"	117191	"AE-848/32614027"	"Cc1ccccc1N\N=C\2/C(=O)Nc3ccccc23"	0	""	""	1	1	"272588"	"21231414"
"117192"	117192	"indole-2,3-dione, 3-[(o-chlorophenyl)hydrazone]"	"Clc1ccccc1N\N=C\2/C(=O)Nc3ccccc23"	0	""	""	2	2	"272589"	"21231390"
"117194"	117194	"Z49571350"	"[O-][N+](=O)c1ccccc1N\N=C\2/C(=O)Nc3ccc(Br)cc23"	0	""	""	3	2	"3718835"	"21303399"
"117196"	117196	"3-[2-(2-Nitrophenyl)hydrazinyl]-4-(trifluoromethyl)indol-2-one"	"[O-][N+](=O)c1ccccc1N\N=C\2/C(=O)Nc3cccc(c23)C(F)(F)F"	0	""	""	1	1	"3347168"	"21303388"
"117199"	117199	"US8987474, HL1-056 (NSC-117199)"	"OS(=O)(=O)c1ccc2NC(=O)\C(=N/Nc3ccccc3[N+](=O)[O-])\c2c1"	0	""	""	1	1	"3246406"	"21303446"
"117212"	117212	"A818039"	"O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1.O=C3OC(=O)c4cc5C(=O)OC(=O)c5cc34"	0	""	""	1	1	"272598"	"25656568"
"117222"	117222	"(E)-4,5-Dibromo-1,5-diphenyl-pent-1-EN-3-one"	"BrC(C(Br)c1ccccc1)C(=O)\C=C\c2ccccc2"	0	""	""	1	1	"6107678"	"72998153"
"117232"	117232	"STL367800"	"BrC(C(Br)c1ccccc1)C(=O)C(Br)C(Br)c2ccccc2"	0	""	""	2	2	"272617"	"19922771"
"117269"	117269	"4-(4,6-diamino-2-(4-chlorophenyl)-1,3,5-triazin-1(2h)-yl..."	"NC1=NC(N(C(=N1)N)c2ccc(cc2)S(=O)(=O)Nc3ncccn3)c4ccc(Cl)cc4"	0	""	""	1	1	"272646"	NA
"117271"	117271	"3-[(4-Chlorophenyl)-(1-hydroxy-3,4-dioxo-naphthalen-2-yl)methyl]-4-hydroxy-naphthalene-1,2-dione"	"OC1=C(C(C2=C(O)C(=O)c3ccccc3C2=O)c4ccc(Cl)cc4)C(=O)c5ccccc5C1=O"	0	""	""	2	2	"272648"	NA
"117274"	117274	""	"OC1=C(C(CCc2ccccc2)C3=C(O)C(=O)c4ccccc4C3=O)C(=O)c5ccccc5C1=O"	0	NA	NA	1	1	"412835"	NA
"117281"	117281	"antineoplastic-117281"	"Nc1nc(N)c(N=Nc2ccc(c(O)c2)[As](=O)(O)O)c(N)n1"	0	""	""	2	2	"272658"	NA
"117285"	117285	"2-Hydroxy-4-((2,4,6-triamino-5-pyrimidinyl)diazenyl)benzoic acid"	"Nc1nc(N)c(N=Nc2ccc(C(=O)O)c(O)c2)c(N)n1"	0	""	""	1	1	"272662"	NA
"117356"	117356	"d-amethopterin"	"CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O"	0	NA	NA	2	2	"412893"	"51865793"
"117614"	117614	"adoca"	"NC1=NC(=O)N(C=C1)C2OC(COC(=O)C34CC5CC(CC(C5)C3)C4)C(O)C2O"	0	NA	NA	4	3	"413114"	"23113011"
"117619"	117619	"1-(2,3-Diphenylcycloprop-2-en-1-yl)urea"	"NC(=O)NC1C(=C1c2ccccc2)c3ccccc3"	0	""	""	1	1	"272896"	NA
"117739"	117739	"3-(2,4-Dinitrophenoxy)pyridine"	"[O-][N+](=O)c1ccc(Oc2cccnc2)c(c1)[N+](=O)[O-]"	0	""	""	1	1	"272938"	"40604271"
"117915"	117915	"indole-2,3-dione, 5-methyl-, 3-[(o-nitrophenyl)hydrazone]"	"Cc1ccc2NC(=O)\C(=N/Nc3ccccc3[N+](=O)[O-])\c2c1"	0	""	""	2	2	"3632950"	"21303424"
"117917"	117917	"indole-2,3-dione, 7-methyl-, 3-[(o-nitrophenyl)hydrazone]"	"Cc1cccc2\C(=N\Nc3ccccc3[N+](=O)[O-])\C(=O)Nc12"	0	""	""	3	2	"3693487"	"21303468"
"117949"	117949	"4-[(4,5-Dihydroxy-8-nitro-9,10-dioxoanthracen-1-yl)amino]-N,N-dimethylbenzenesulfonamide"	"CN(C)S(=O)(=O)c1ccc(Nc2ccc(O)c3C(=O)c4c(O)ccc(c4C(=O)c23)[N+](=O)[O-])cc1"	0	""	""	1	1	"3246414"	NA
"118028"	118028	"phenazastanine, 5,10-dihydro-5,10,10-trimethyl-"	"CN1c2ccccc2[Sn](C)(C)c3ccccc13"	0	""	""	2	1	"273088"	"17154517"
"118030"	118030	"QN6S3B7ZA5"	"CN1c2ccc(C)cc2[Sn](c3ccccc3)(c4ccccc4)c5cc(C)ccc15"	0	""	""	2	1	"419766"	"17154540"
"118051"	118051	"bis(diethylcarbamothioylsulfanyl)bismuthanyl N,N-diethylcarbamodithioate"	"CCN(CC)C(=S)S[Bi](SC(=S)N(CC)CC)SC(=S)N(CC)CC"	0	""	""	2	2	"273108"	NA
"118087"	118087	""	"Cl[Au]Cl.O=C1[O-][Au+3]2(NC3(CCCC3)C(=O)[O-]2)NC14CCCC4"	0	NA	NA	1	1	"555791"	NA
"118090"	118090	"Isoxanthopterin"	"NC1=NC(=O)C2=C(N1)NC(=O)C=N2"	0	NA	NA	6	1	"413376"	"529691"
"118095"	118095	"1,2,4,5-tetraaminobenzene tetrahydrochloride"	"Nc1cc(N)c(N)cc1N"	0	""	""	1	1	"381091"	"4506665"
"118097"	118097	"9229AE"	"Clc1cccc(Cl)c1CSC#N"	0	""	""	2	2	"82034"	"7534647"
"118176"	118176	"Prototryptochrome, iodo-"	"OC1C2C3C4N(C1=N)c5ccccc5C4(I)C(O)C(=N)N3c6ccccc26"	0	""	""	1	1	"273178"	NA
"118218"	118218	"Fludarabine"	"Nc1nc(F)nc2c1ncn2C3OC(CO)C(O)C3O"	0	"Ds|AM|Dr|STAT1"	"FDA approved"	2	2	"-1"	"21679141"
"118516"	118516	"Copper;1,2-dicarboxyethylazanide"	"OC(=O)CC1N[Cu]2(NC(CC(=O)O)C(=O)O2)OC1=O"	0	""	""	1	1	"419807"	NA
