nsc	name	testing_status	mechanism
201290	"Cytosine, 1.beta.-D-arabinofuranosyl-N(sup 4)-stearoyl-"		
201434	Maybridge1_003242		
201438	"3-(1,3-Benzodioxol-5-ylimino)-5-bromo-1H-indol-2-one"		
201459	"1H-Indol-2-one, 5-bromo-2,3-dihydro-3-[[(4-methoxyphenyl..."		
201618	"Benzoic acid, 4-[[4-amino-5-(4-bromobenzoyl)-3-cyano-2-t..."		
201628	"Carbonic dihydrazide, bis[(3,5-dibromo-2-hydroxyphenyl)m..."		
201631	"benzoic acid, 4-[[4-amino-3-cyano-5-(3-nitrobenzoyl)-2-t..."		
201646	D 4735		
201656	Maybridge1_005792		
201724	Bis(4-chlorophenyl)(methyl)phenylphosphanium iodide		
201835	ZX-AP012572		
201857	[2-Methoxy-4-[(Z)-(phenylhydrazinylidene)methyl]phenyl] benzoate		
201863	"n-[1-(biphenyl-4-yl)ethyl]-3,4-dichlorobenzamide"		
201868	N-[[4-(Dimethylamino)benzylidene]amino]quinoline-3-carboxamide		
201873	"9(10H)-Anthracenone (2,4-bis(hydroxy(oxido)amino)phenyl)hydrazone"		
202000	"(4Z)-4-(3,4-Dichlorobenzylidene)-2-(2-furyl)-1,3-oxazol-5(4H)-one"		
202003	BRD-K72253399-001-01-0		
202062	(Z)-2-(4-Bromophenyl)-3-[4-[2-cyanoethyl(methyl)amino]phenyl]prop-2-enenitrile		
202386	"benzamide, 2-nitro-4-[(6-nitro-4-quinolinyl)amino]-n-[4-..."		
202554	"2-Propynoic acid, 2-butyne-1,4-diyl ester"		
202858	"Stannane, dibutyldithiocyanato-"		
203017	W-200183		
203308	"8-Methyl-3-oxa-2lambda6-thia-6-mercurabicyclo[5.3.1]undeca-1(11),7,9-triene 2,2-dioxide"		
204232	"n,n'-bis(3-nitrophenyl)benzene-1,3-dicarboxamide"		
204667	4-(((2-Fluoroanilino)carbonyl)amino)benzenesulfonamide		
204682	4-Methoxy-2-[(Z)-(phenylhydrazinylidene)methyl]phenol		
204686	"Hydrazinecarbothioamide, 2-[1-(2-naphthalenyl)ethylidene]-"		
204985	sterigmatocystin		
205098	"Spiro(furan-2(5H),3'-(3H)indole)-2'(1'H),5-dione, 3,4-di..."		
205105	"isoquinaldaldehyde, 5-amino-, thiosemicarbazone (8ci)"		
205357	4-Amino-1-methyl-1H-imidazole-5-carboselenoamide		
205506	"Benzoic acid, 2-(methylamino)-, (3-phenyl-2-propenyliden..."		
205555	"Butanoic acid, 2,3-dibromo-4-[(5-chloro-2-methoxyphenyl)..."		
205795	"benzoic acid, 4-[[(2-thiazolylamino)carbonyl]amino]-, et..."		
205862	"N-(4-Chlorobenzyl)-N'-(2,5-dimethylphenyl)urea"		
206381	2-(4-Chlorophenoxy)-1-methyl-imidazole		
207111	"5-(3-Oxo-but-1-enyl)-1H-pyrimidine-2,4-dione"		
207895	wln: t56 bnonj bo fnw i- at6n dntj d1		
207896			
208652	"2,4-Quinazolinediamine, 5-chloro-6-[[(3,4-dichlorophenyl..."		
208706	STK312947		
208731	Isodiospyrin		
208733	ramentaceone		
208734	aclarubicin		
208746			
208759	"3-[3-(1,3-Benzodioxol-5-yl)-1-(3,4-dimethoxyphenyl)-3-oxo-propyl]-4-hydroxy-chromen-2-one"		
208885			
208914	CC 9106		
208915	CC 9147		
208916	"(Z)-N-[1-Hydroxy-3-(methylsulfanylmethylsulfanyl)propan-2-yl]-2-methyl-3-(6-methyl-2,4-dioxo-1H-pyrimidin-5-yl)prop-2-enamide"		
208959	itir		
209759	thalictropine		
209835	zygosporin a		
209870	A 31438		
209926	"4-Thiazolidinone, 3-(1-phenylethyl)-2-thioxo-"		
209931	"4-Mercapto-6-((2,3,4,5,6-pentachlorobenzyl)thio)-1,3,5-triazin-2-ol"		
210236	Crassin		
210486	SSA8WX9HQB		
210717	9 ohe hcl		
210739	"(2,5-Dioxo-imidazolidin-4-ylmethoxy)-urea"		
210753	19-Formylgeldanamycin tert-butylimine		
210760	Streptovaricin C triacetate		
210761	Streptovaricin A diacetate		
210924	"2,4-Pyrimidinediamine, 6-[(bromotrichlorophosphoranyl)me..."		
211193	N-(3-(Hydroxy(oxido)amino)benzyl)-4-methylbenzenesulfonamide		
211332	"2,4-diaminohexahydropyrimidine-5-carbonitrile"		
211370	"5-[4-(4-Aminophenyl)butyl]-6-methyl-pyrimidine-2,4-diamine; sulfuric acid"		
211488	"Pyrano[3,2-c]benzopyran-5-one, 4-(1,3-benzodioxol-5-yl)-..."		
211489	"2-(1,3-Benzodioxol-5-yl)-4-(3,4-dimethoxyphenyl)-4H-pyrano[3,2-c]chromen-5-one"		
211490	"4h,5h-pyrano[3,2-c][1]benzopyran-5-one, 2,4-bis(3,4-dime..."		
211500	Nagilactone C		
212068	"2-Chloro-4-[[3-[[2-(3,4-dichlorophenoxy)acetyl]amino]pyridin-1-ium-1-yl]methyl]benzenesulfonyl fluoride;bromide"		
212143	"2,4-Pyrimidinediamine, 6-((E)-2-(4-nitrophenyl)ethenyl)-5-(4-phenylbutyl)-"		
212183	IQF5NPS3ZY		
212446	"5-[4-(4-Nitrophenyl)butyl]pyrimidine-2,4,6-triamine"		
212509	"withanolide e, 4-b-hydroxy-"		
213989	"1-(2-Fluorophenyl)-3-(2-thioxo-3H-1,3-benzothiazol-6-yl)urea"		
215139	Bikaverin		
215153	"Dichloro(4,5-dimethyl-o-phenylenediamine)platinum(II)"		
215254	Liriodenine		
215721	3-Bromo-N-[(5-chloro-2-hydroxyphenyl)carbamothioyl]benzamide		
215999	"2-Chloro-N-(2,5-dimethoxyphenyl)-N-[2-(1,3-dioxoisoindol-2-yl)ethyl]acetamide"		
216128	Borrelidin		
216135	Fotretamine		
216183	1-(3-Fluorophenyl)-3-(2-methyl-5-nitrophenyl)urea		
217697	"Quinoline, 6,6'-methylenebis[1,2-dihydro-2,2,4-trimethyl]-"		
218321	PENTOSTATIN	FDA approved	Ds|AM|ADA
218439	"Quinolinium, 1-methyl-4-[[4-[[[4-[(1-methylpyridinium-4-..."		
218440	"Quinolinium, 1-methyl-4-[[4-[[[4-[(1-methylpyridinium-4-..."		
218457	ICRF 202		
218476	"6-thio-.beta.-d-glucopyranose, 6-(dimethylarsinite)"		
219241	"Phosphonium, (4,5-dihydro-5,5-dimethyl-1H-pyrazol-3-yl)t..."		
219498	"6,7,8,9,10,11,12,13,14,15-Decahydrocyclododeca[g]pteridine-2,4-diamine"		
219733	"n,n'-di-9-acridinyl-1,6-hexanediamine"		
219734	"1,8-octanediamine, n,n'-di-9-acridinyl- (9ci)"		
219977	Chlorozorubicin hydrochloride		
220334	Replaced CAS registry number(s): 66835-31-2		
220471	"(E)-3-(2,4-Dioxo-1H-pyrimidin-5-yl)-N,N-dimethylprop-2-enamide"		
220589	Nifurquinazole		
221019	WORTMANNIN	Clinical trial	PK:PIK3
221154	dejo		
221265	"Benzoic acid, 3-nitro-, [[1-[4-[(3-amino-2,3,6-trideoxy-..."		
221266	"Benzoic acid, 3,4-dichloro-, [1-[4-[(3-amino-2,3,6-tride..."		
221659	"Benzo[a]heptalen-9(5H)-one, 6,7-dihydro-7-(.beta.-D-mann..."		
221662	colchicine analog		
222722	"2,3-Bis(naphthalen-2-ylsulfanyl)naphthalene-1,4-dione"		
224070	AZIRIDINYL BENZOQUINONE		
224131	N-Phosphonacetyl-L-aspartate		Ds
224369	WLN: T6NNVJ BR& DG EG		
225112	"2,4,6-Quinazolinetriamine, N(6)-[(3,4-dichlorophenyl)met..."		
226080	RAPAMYCIN	FDA approved	"PK:STK,MTOR"
226798	"2,4,5-Trichloro-6-methoxypyrimidine;4,5,6-trichloro-2-methoxypyrimidine"		
227185	Violamycin B		
227262	Bouvardia ternafolia		
227279	"1,4-Naphthalenedione, 5,8-dihydroxy-2,3-bis(hydroxymethyl)-"		
228082	"Benzofurazan, 4-(4-morpholinyl)-7-nitro-, 3-oxide"		
228099	wln: t56 bnonj bo fnw i- at6n dntj dr d1		
228120	"Benzofurazan, 4-[(3-methoxyphenyl)thio]-7-nitro-, 3-oxide"		
228132	"Benzofurazan, 5-nitro-6-(1-piperidinyl)-, 1-oxide"		
228155	"benzofurazan, 4-nitro-7-(2-pyridinylthio)-, n-oxide"		
228178	"Palladate(1-), .mu.-chlorodichloro[.mu.-[2,2'-(1-methyl-..."		
230683	"1-Propanone, 1-(4-fluorophenyl)-3-[(1,4,5,6-tetrahydro-2..."		
231660	N-(4-Dimethylaminodiazenylphenyl)propanamide		
231984	"Quinolinium, 1-methyl-2,4-bis[2-(2,4,6-trimethoxyphenyl)..."		
231986	4-[(Z)-2-(2-Methoxyphenyl)ethenyl]cinnoline		
232002	W-203158		
233872			
233898	oxidopamine		
234214	"2,5-Cyclohexadiene-1,4-dione, 2,3-dimethoxy-5-(2-naphthalenylthio)-"		
234486	Cercosporin		
234669	scillarenin		
234714	Aphidicolin		
236580	destruxin b		
236613	plumbagin		
236620	"Isoquinolinium, 2-methyl-1-[2-(2,4,6-trimethoxyphenyl)et..."		
236657	viridomycin		
237020	Largomycin F-II		
237068	Ellipticine N-oxide		
237106	2-hydroxy-2-deaminoactinomycin c		
237343	"Decanediimidamide, monohydrochloride"		
237538	"2,4-Thiazolidinedione, 5-(3-phenyl-2-propenylidene)-"		
237671	actinomycin x4357g methoxime		
237677	"2,3-Dimethoxy-5-octylsulfanylcyclohexa-2,5-diene-1,4-dione"		
238159	Nocodazole		
238181	Isobrucein B		
238187	Ailanthinone		
239072	MEZEREIN		
239272	"(3E)-3-(1-Anilinoethylidene)-5-[(4-fluorophenyl)methyl]pyrrolidine-2,4-dione"		
239273	"2,4-Pyrrolidinedione, 5-[(3-fluorophenyl)methyl]-3-[1-(p..."		
239336	bhac		
239375	"Rifamycin, 1,4-dideoxy-1,4-dihydro-1,4-dioxo-, 21-formate"		
239400	14-Morpholinodaunomycin monohydrochloride		
239724	cis-4-oh ccnu		
239749	Mdl 19152		
240386	"Spiro(imidazolidine-4,1'-(1H)indene)-2,5-dione, 6'-[bis(..."		
240419	"Benzoic acid, 2-[[4-[bis(2-bromopropyl)amino]-2-methylph..."		
240529	"2,5-Cyclohexadien-1-one, 4-[[4-[bis(2-chloroethyl)amino]..."		
240533	"Benzeneethanamine, 4-[bis(2-chloroethyl)amino]-, monohyd..."		
240553	"5,8-Methano-1,3-dioxolo[4,5-h][2]benzoxepin-7(5H)-one, 8..."		
240579	4-(2-(4-(Dimethylamino)phenyl)vinyl)-8-quinolinol		
240755	"1H-Benzimidazole, 6-chloro-1-(2-chloroethyl)-2-(chlorome..."		
240800	"N,N'-Bis(naphtho[1,2-b]quinolin-9-yl)butane-1,4-diamine"		
241240	Carboplatin	FDA approved	A7|AlkAg
241494	"2-(3-Methylbutylsulfanyl)naphthalene-1,4-dione"		
241509	"2-Propenamide, N-[2-(butylsulfinyl)-1-(hydroxymethyl)eth..."		
242557	malonoben		
243022	cinerubin a hcl		
243023	cinerubin b hcl		
243046	lasalocid		
243115	Econazole nitrate		
243928	"Ethanesulfonamide, N-[4-(9-acridinylamino)-3-methoxyphen..."		
243929	"1-Propanesulfonamide, N-[4-(9-acridinylamino)-3-methoxyp..."		
243930	"1-Butanesulfonamide, N-[4-(9-acridinylamino)-3-methoxyph..."		
244404	"[(9E,21Z)-28-(1,3-Dithiolan-2-yl)-2,29,31-trihydroxy-11-methoxy-3,7,12,14,17,17,20,24,32-nonamethyl-6,25-dioxo-8,16,18,33-tetraoxa-26-azapentacyclo[25.3.1.14,7.115,19.05,30]tritriaconta-1(30),2,4,9,21"		
244425	triostin a		
244426	Streptogramin A		
244697	"Phosphorus(1+), (2,4-dimethoxyphenyl)tris(N-ethylethanam..."		
244708	"Benzoic acid, 3,5-dinitro-4-(1H-purin-6-ylthio)-, ethyl ..."		
244714	"Benzoic acid, 3,5-dinitro-2-(1H-purin-6-ylthio)-, ethyl ..."		
245006	"[1,1'-Binaphthalene]-2,2',3,3'-tetrol"		
245341	"1,3-benzenediol, 5-[bis(2-chloroethyl)amino]-, dicarbama..."		
245398	"4-Methyl-1,1-diphenyl-1,2,3,4-tetrahydrobenzo(h)phosphinolinium hexafluorophosphate"		
245426	"[6-[(3-Acetyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-2,4-dihydro-1H-tetracen-1-yl)oxy]-3-hydroxy-2-methyloxan-4-yl]-trimethylazanium;chloride"		
245432	"urea, n-(2-chloroethyl)-n-nitroso-n'-(2,3,4,6-tetra-o-ac..."		
245456	"Naphthalene, 2,3-dimethoxy-6-(2-nitroethenyl)-"		
246012	AGN-PC-0NI726		
246014	"Benzo[c]phenthridinium, 3-hydroxy-2,8,9-trimethoxy- 5-me..."		
246112	maiq i		
246129	Antibiotic B 58941B		
246131	Valrubicin	FDA approved	TOP2
246399	STK522977		
246406	"3-(2,6-Dichlorophenyl)-4-phenyl-2,3-dihydro-1,5-benzothiazepine"		
246407	Bio7F3		
246968	ACM32409953		
246981	LS-150174		
247022	4jr5		
247562	"prodiginine hcl, butylcycloheptyl-"		
248040	1-Acridin-9-ylpiperidin-4-ol		
248436	"guanosine, 6-thio-, platinum complex (9ci)"		
248605	julimycin b2		
249278	"Carbamic acid, [5,6,7,9-tetrahydro-1,2,3-trimethoxy-10-(..."		
249910	Camptothecin Derivative		TOP1
249911	"1H-Pyrano[3',4':6,7]indolizino[1,2-b]quinolin-14(12H)-on..."		
249956	Chapliatrin		
249991	(-)-Ruboskyrin		
249992	M-AMSA		TOP2
249995	Autumnolide		
250293	"1,2-Benzenediol, 4-[1-hydroxy-2-[[2-(4-hydroxyphenyl)-1-..."		
250427	pt 195		
250682	ISODONOL		
250684	"Cytosine, 1.beta.-D-arabinofuranosyl-N(sup 4)-palmitoyl-"		
250686	"Cytosine, 1.beta.-D-arabinofuranosyl-N(sup 4)-lauroyl-"		
251190	"[1-(2-PYRIDINYL)ETHYLIDENE]HYDRAZINECARBODITHIOIC ACID, ..."		
251198	"4,5-DIHYDRO-7,8-DIMETHOXY-1-(2,3,4,6-TETRA-O-ACETYL-.BET..."		
251219	5-AMINO-1-METHYL-1H-IMIDAZOLE-4-CARBOSELENOAMIDE		
251534	"(1'.BETA.)-6,6'-DIMETHOXY-2,2'-DIMETHYLBERBAMAN-7,12-DIOL"		
251667	ERIOFLORIN ACETATE		
251668	Ovatifolin acetate		
251677	tetrol fr. taxus brevifolia		
251682	jacaranone		
251699	DICENTRINE-(-)		
251757	"2-CHLORO-6-(4-CHLOROPHENYL)-2,5-CYCLOHEXADIENE-1,4-DIONE"		
251805	"Butanedioic acid, 2-bromo-3-fluoro-, dimethyl ester"		
251819	"2-Propenamide, N-[1-(hydroxymethyl)-2-[[(methylsulfinyl)..."		
251820	"(Z)-N-[1-Hydroxy-3-(methylsulfanylmethylsulfanyl)propan-2-yl]-3-(6-methyl-2,4-dioxo-1H-pyrimidin-5-yl)prop-2-enamide"		
252188	"2,5-cyclohexadiene-1,4-dione, 2-chloro-5,6-dimethoxy-3-(..."		
252628	"1H-Purine, 6-[(1-methyl-4-nitro-1H-imidazol-5-yl)seleno]-"		
252816	sudan red b		
252844	shikonin		
252898	1-Hydroxy-3-adamantaneacetic acid		
252926	oudenone k		
252940	Gnidimacrin (G-1)		
253272	CARACEMIDE		
253995	piperidinium europium benzoyl trifluoroacetonate		
254665	JUSTICIDIN B		
254677	Phomazarin		
254681	12-Iminodaunorubicin HCl		
255025	Bionet2_000480		
255088	"2,3-Dibromo-3-(2-(hydroxy(oxido)amino)phenyl)propanoic acid"		
255104	geldanamycin analog		
255105	GELDANAMYCIN ANALOG		
255108	"hydrogeldanamycin-18,21-diacetate"		
255109	geldanamycin analog	Clinical trial	HSP90
255111	19-Formylgeldanamycin N-piperidinoimine		
255523	N6-Benzyladenosine-5'-phosphate		
255917	"Platinum, dichloro(1,2-cyclohexanediamine-N,N')-, (SP-4-..."		
255980			
256420	helatac		
256438	Medorubicin		
256439	Idarubicin	FDA approved	TOP2
256442			
256926	hyrcanoside		
256927	CHIP		A7
256942	Epirubicin	FDA approved	TOP2
257450	dermocylin		
257473	Clotrimazole		
258168	"2,6-Pyridinedicarbonitrile, 3,4,5-tris(phenylthio)-"		
258625	"6,6-Dimethyl-2,10-dimethylidene-4,8-dioxadispiro[4.1.47.35]tetradecane-3,9-dione"		
258812	"N,N-Dimethyldaunomycin hydrochloride"		
259272	ARA-AMP		
259726	DEOXYELEPHANTOPIN		
259968	bouvardin		
259969	deoxyBouvardin		
260179	NEOAUREOTHIN		
260594	"Benzamide, 4-[(1-methyl-6-nitro-4(1H)-quinolinylidene)am..."		
260610	"1,6-Hexanediamine, N,N'-bis(3-methoxy-9-acridinyl)-"		
260642	"Benzenamine, 4-[(8,10-dihydro-8-imino-7-methyl-10-phenyl..."		
260922	"phenyl, 4-[[[4-[(phenylmethyl)amino]phenyl]methyl]thio]-"		
261045	"N,N-Dimethyladriamycin"		
261726	Dezaguanine		
263434	"N,N'-Bis(3-methoxy-9-acridinyl)-1,8-octanediamine"		
263601	GHQVMARKZDBYKZ-UHFFFAOYSA-N		
263625	"2-(2,4,5-Trimethoxystyryl)benzothiazole"		
263626	"Quinolinium, 1-butyl-2-[2-(2,4,6-trimethoxyphenyl)etheny..."		
263637	"4H-[1]Benzopyrano[2,3-d]pyrimidin-4-one, 2,3-dihydro-2-p..."		
263663	"Pyridinium, 3,3'-(bicyclo[2.2.2]octane-1,4-diylbis(carbo..."		
264045	"4,6-Dichloro[1,2,5]thiadiazolo[3,4-c]pyridine"		
264054	mexicanin e		
264077	"Phosphonium, (2-bromoethyl)triphenyl-, bromide"		
264137	Elliptinium Acetate	Clinical trial	TOP2
264497	"Benzoic acid, 3,5-dinitro-4-(1H-purin-6-ylthio)-, octyl ..."		
264713	calvatic acid		
264878	Kauranol		
264880	DIHYDRO-5-AZACYTIDINE		DNMT
264938	1-Benzo[a]phenothiazin-12-yl-2-chloroethanone		
265203	MULTIGILIN		
265204	"1,2,3,4-Oxatriazolium, 5-amino-3-phenyl-, chloride"		
265211	Marcellomycin		
265450	nogamycin		
265459	"Platinum, dichloro(1,2-cyclohexanediamine-N,N')-, (SP-4-2-(1S-trans))- (9CI)"		
265460	"Platinum, dichloro(1,2-cyclohexanediamine-N,N')-, (SP-4-2-(1R-trans))- (9CI)"		
265473	"2-Propenamide, N-[2-(decylthio)-1-(hydroxymethyl)ethyl]-..."		
265875	"1H-Imidazole-4-methanaminium, N-hexadecyl-N-(2-hydroxyet..."		
265959	"6H-Cyclopenta[c][1,8]phenanthrolin-6-one, 5,7,8,9-tetrah..."		
266032	"7-Oxabicyclo[4.1.0]hept-3-en-2-one, 5-hydroxy-6-(hydroxy..."		
266046	Oxaliplatin	FDA approved	A7
266047	"Platinum, (1,2-cyclohexanediamine-N,N')(propanedioato(2-)-O,O')-, (SP-4-2-(1R-trans))- (9CI)"		
266068	"L-Leucine, N-[4-[bis(2-chloroethyl)amino]-DL-phenylalany..."		
266186	huratoxin		
266210	"Butanedioic acid, bis[[1-[4-[(3-amino-2,3,6-trideoxy-.al..."		
266491	psorspermin		
266494	Simalikalactone D		
266743	"Hydrazinecarbothioamide, 2-[(5-amino-2-pyridinyl)methyle..."		
266748	"Hydrazinecarbothioamide, 2-[[3-(methylamino)-2-pyridinyl..."		
266763	"2-Propenamide, N-[2-(decylsulfinyl)-1-(hydroxymethyl)eth..."		
267033	Trichodermin		
267213	"acetic acid, [[(4-methoxyphenyl)sulfonyl]hydrazono]- (9ci)"		
267229	Pyrromycin		
267239	Fastigilin A		
267319	"2,3-Dichloro-5,6,7,8-tetrahydronaphthalene-1,4-diol"		
267461	Nanaomycin		
267469	Deoxydoxorubicin		TOP2
267589	"(2Z)-2-[[3-(Trifluoromethyl)phenyl]methylidene]-4H-1,4-benzothiazin-3-one"		
267694	Cinerubin A hydrochloride		
267707	Cedronine		
267709	undulatone		
267712	"RESIBUFOGENIN, METHACRYLATE DERIV"		
267713	Digitoxigenin glycoside		
268222	"(2Z)-2-[[4-(Trifluoromethyl)phenyl]methylidene]-4H-1,4-benzothiazin-3-one"		
268226			
268239	"5,12-Naphthacenedione, 7,8,9,10-tetrahydro-6,8,11-trihyd..."		
268242	"N,N-Dibenzyldaunorubicin"		TOP2
268251	".beta.-L-Glucopyranosylamine, 4,6-dideoxy-4-[[[(14-methy..."		
268617	"Benzenamine, 4-[2-(7,8-dimethyl-4-quinolinyl)ethenyl]-N,..."		
268665	"4-Amino-1-[6-(hydroxymethyl)-2,2-diphenyl-3a,4,6,6a-tetrahydrofuro[3,4-d][1,3,2]dioxastannol-4-yl]pyrimidin-2-one"		
268690	"3-Pyridinecarboxylic acid, [(2,4-dihydroxyphenyl)methyle..."		
268695	"Benzoic acid, 2-(1-pyrrolidinyl)-, [(2-hydroxy-3-methoxy..."		
268708	"5,12-naphthacenedione, 10-[(3-amino-2,3,6-trideoxy-.alph..."		
268804	"2,5-Dimethoxy-N,N-dimethyl-4-[(Z)-2-(quinolin-4-yl)ethenyl]aniline"		
268907	"Benzenesulfonamide, N-[2-(4,6-diamino-1,3,5-triazin-2-yl..."		
268925	Di-n-octyl-secalonsaure A		
268965	"Benzaldehyde, 4-[bis[2-[(methylsulfonyl)oxy]ethyl]amino]-"		
268986	Dromilac		
268993	Deferoxamine Hydrochloride		
269121	DALBERGIONE		
269142	ANGUIDINE DERIV SCIRPENTRIOL		
269146	variamycin		
269148	MENOGARIL		TOP2
269149	Nogarene		
269189	"THALICBERINE, O-METHYL"		
269191	Thalphenine chloride		
269192	8-trichloromethyldihydroberberine		
269207			
269210	C8H14N2S2		
269599	"Stannane, chlorohydroxydiphenyl-"		
269719	"Estr-4-en-3-one, 17-[[[(2-chloroethyl)nitrosoamino]carbo..."		
269720	"Androstan-17-one, 3-[[[(2-chloroethyl)nitrosoamino]carbo..."		
269721	"Androstan-3-one, 17-[[[(2-chloroethyl)nitrosoamino]carbo..."		
269753	modified new trichothecene		
269754	modified new trichothecene		
269756	Baccharinol		
269757	Baccharin		
269760	isobaccharin		
270046	SAPELIN A		
270057	Hydroxypristimerin		
270693	anhydrolycorinium chloride		
270718	Probes1_000079		
270737	"2-(3-Nitrophenyl)-4-p-tolyl-2,3-dihydrobenzo[b][1,4]thia..."		
270738	"2-(4-(Hydroxy(oxido)amino)phenyl)-4-phenyl-2,3-dihydro-1..."		
270904	"4,7-Quinolinediamine, N4,N4'-1,8-octanediylbis[2-methyl-..."		
270919	From Gnidia		
271271	"12-Methoxy-3-(4-nitrophenyl)-3,4-diazatricyclo[8.4.0.02,6]tetradeca-1(14),2(6),4,10,12-pentaen-13-ol"		
271278	"(2Z)-2-[[2-(Trifluoromethyl)phenyl]methylidene]-4H-1,4-benzothiazin-3-one"		
271674	Carboxyphthalatoplatinum		A7
271952	"[1,3]Dioxolo[4,5-j]phenanthridinium, 5-methyl-, chloride"		
271967	"Methanaminium, N-[bis[4-(dimethylamino)phenyl]methylene]..."		
272346	"1,7-Heptanediamine, N,N'-bis(2-methyl-7-nitro-4-quinolin..."		
272671	pepstatin		
273432	"Hexanedioic acid, bis[[1-[4-[(3-amino-2,3,6-trideoxy-.al..."		
273808			
273829	"4,7-quinolinediamine, n4,n4'-1,7-heptanediylbis[2-methyl-"		
274539	Olivomycin Transformation		
274544	"Gold(1+);5-(trifluoromethyl)-1,2,3-triaza-4-azanidacyclopenta-2,5-diene;triphenylphosphanium"		
274547	"Gold, [.mu.-(5,5'-bi-1H-tetrazolato(2-)-N1:N1')]bis(trip..."		
274548	"Gold, [.mu.-[[5,5'-methylenebis[1H-tetrazolato]](2-)-N(1..."		
274551	Gold(1+);methyl-(1-methyltetrazol-5-yl)azanide;triphenylphosphanium		
274553	Benzyl-(1-methyltetrazol-5-yl)azanide;gold(1+);triphenylphosphanium		
274554	Ethyl-(1-ethyltetrazol-5-yl)azanide;gold(1+);triphenylphosphanium		
274555	"Gold, (2,3-dihydro-2-thioxo-4(1H)-pyrimidinonato-S)(trip..."		
274556			
274557			
274893	THALICARPINE TRANSFORMATION PRODUCT		
275428	nybomycin deriv		
275647	"5,12-Naphthacenedione, 10-[(3-amino-2,3,6-trideoxy-.alph..."		
275656	dioxadet		
275890			
275971	"Ethyl N-[2-(4-chlorophenyl)sulfanyl-1,3-benzothiazol-6-yl]carbamate"		
276296	"palladium, bis(purine-6-thiolato)- (8ci)"		
276299	"Platinum, bis(2-amino-1,9-dihydro-6H-purine-6-thionato-N..."		
276361	"1H-Pyrrole-3,4-dimethanol, 1-(4-butylphenyl)-2,5-dimethy..."		
276362	"1H-Pyrrole-3,4-dimethanol, 1-(4-bromophenyl)-2,5-dimethy..."		
276371	"2,5-Cyclohexadiene-1,4-dione, 2,3-dimethoxy-5-[(3,7,11,1..."		
276376	"Formamide, N-[4-(3,3-dimethyl-1-triazenyl)phenyl]-"		
276382	pepleo		Db
277181	"1H-Inden-1-one, 5-[2-(dimethylamino)ethoxy]-2,3-dihydro-..."		
277184	"1H-Inden-1-one, 6-[2-(dimethylamino)ethoxy]-2,3-dihydro-..."		
277290	Uzarigenin		
277293	CINNAMODIAL B812927K060		
278214	"carbamic acid, (1-methylethyl)-, [5-(3,4-dichlorophenyl)..."		
278467	"9,10-Anthracenedione, 1,4-bis[[3-[(2-hydroxyethyl)amino]..."		
278571	toxin ht2		
278619	prumycin		
278631	"2-Butenoic acid, 3-[(1,3-dihydroxy-2-naphthalenyl)thio]-..."		
278632	"2-Butenoic acid, 3-[(1,3-dihydroxy-2-naphthalenyl)thio]-, ethyl ester, (Z)-"		
279503	ISOBRUCEIN A		
279836	MITOXANTRONE	FDA approved	TOP2
280074	"Ethanol, 2,2'-[[4-[[[4-[2-(phenoxymethyl)-4-thiazolyl]ph..."		
280414	Multistatin		
280471			
280594	TRICIRIBINE PHOSPHATE	Clinical trial	PK:STK
280893	"2-Bromo-2-(((4-methylphenyl)sulfonyl)methyl)-3,4-dihydro-1(2H)-naphthalenone"		
281245	compactin		
281272	ara ac		
281279	"Platinum, aqua(1,2-cyclohexanediamine-N,N')(tetraoxosele..."		
281300			
281383	Q27192528		
281612	benzaldehyde (BEN)	Clinical trial	A7
281613	"Ethanol, 2,2'-[[4-[[[3-chloro-4-(2-phenyl-4-thiazolyl)ph..."		
281617	"Ethanol, 2,2'-[[3-methyl-4-[[[4-[5-methyl-2-(phenylmethy..."		
281625	"Phosphonium, [2-(1,3-dihydro-2H-isoindol-2-yl)ethyl]trip..."		
281668	prima-1		
281693			
281816	metitepine maleate		
281817	"Ethanol, 2,2'-[[4-[[[4-[2-(4-bromophenyl)-4-thiazolyl]ph..."		
281818	"Ethanol, 2,2'-[[3-methyl-4-[[[4-[2-(4-propoxyphenyl]-4-t..."		
281929	"Diethyl 3,3'-(1,3-phenylene)di(prop-2-ynoate)"		
282150	"Benzenethiol, 2-amino-5-methyl-"		
282159	kaurane deriv		
282173	Carnosol o-quinone		
282752	Eunicin		
282880	octadecylphosphocholine		
282885	"Acetamide, N-[3-(3,4-dichlorophenyl)-1-(6-hydroxy-5-oxo-..."		
283162	TRIMETHYL TMM		
283168	"Acetamide, N,N'-[(5-methoxy-2-methyl-1H-indole-4,6-diyl)..."		
283440	eriofertin		
283445	"Verrucarin A 9,10-epoxide"		
284356	mitindomide		
284437	Quadrone		
284682	3'-Hydroxydaunorubicin		
284751	"Adenosine, 8-chloro-, cyclic 3',5'-(hydrogen phosphate)"		
285109	Lapachol glucoside tetraacetate		
285116	SIOMYCIN A		
285166	oxin		
285223	Neothramycin		
285233	"2,5-Dichloro-3,6-bis-propionylamino-[1,4]benzoquinone"		
285658	ENMEIN-3-ACETATE		
285689	"Benzoic acid, 4-[[(1,3,4-thiadiazol-2-ylamino)carbonyl]a..."		
285705	Sinulariolide		
285706	Sinularin		
