""	"NSC"	"NAME"	"SMILES"	"CONFIDENTIAL_FLAG"	"MOA"	"FDA_STATUS"	"TOTAL_EXPS"	"TOTAL_EXPS_AFTER_QC"	"PUBCHEM_ID"	"CAS"
"90736"	"90736"	"STK325057"	"O=C1NC(=S)NC(=O)C1=Cc2c[nH]c3ccccc23"	0	""	""	1	1	135443018	"53215615"
"90810"	"90810"	"2-(4-Methylphenyl)-5-(2-naphthyl)-1,3,4-oxadiazole"	"Cc1ccc(cc1)c2oc(nn2)c3ccc4ccccc4c3"	0	""	""	2	2	260000	"52596891"
"90829"	"90829"	""	"CC(C)(C)C1CCC2(CC1)CCN(CCCN3CCOCC3)CC2"	0	NA	NA	2	1	NA	""
"90862"	"90862"	"2-(2-Bromophenyl)-5-phenyl-1,3-oxazole"	"Brc1ccccc1c2oc(cn2)c3ccccc3"	0	""	""	1	1	260020	"37611271"
"90903"	"90903"	"N-[(Z)-[4-[Bis(2-chloroethyl)amino]-2-methylphenyl]methylideneamino]pyridine-3-carboxamide"	"Cc1cc(ccc1\C=N\NC(=O)c2cccnc2)N(CCCl)CCCl"	0	""	""	1	1	5984534	"16183714"
"90904"	"90904"	"Nicotinic acid, [p-[bis(2-chloroethyl)amino]benzylidene]..."	"ClCCN(CCCl)c1ccc(\C=N\NC(=O)c2cccnc2)cc1"	0	""	""	1	1	5867877	"16230801"
"91397"	"91397"	"1-Piperazineethanol, 4-(p-chlorophenyl)-.alpha.-[1-napht..."	"OC(COc1cccc2ccccc12)CN3CCN(CC3)c4ccc(Cl)cc4"	0	NA	NA	1	1	NA	""
"91513"	"91513"	"Pyridine-2-aldehyde 2-pyridylhydrazone"	"N(\N=C\c1ccccn1)c2ccccn2"	0	NA	NA	2	1	NA	"2215330"
"91745"	"91745"	"9H-Purine, 6-[(1-methyl-4-nitro-1H-imidazol-5-yl)thio]-9..."	"Cn1cnc(c1Sc2ncnc3c2ncn3C4OC(CO)C(O)C4O)[N+](=O)[O-]"	0	""	""	1	1	54606076	""
"92188"	"92188"	"isoquinaldaldehyde, thiosemicarbazone"	"NC(=S)N\N=C\c1nccc2ccccc12"	0	NA	NA	1	1	NA	"2365266"
"92207"	"92207"	"5-fluoranyl-7-nitro-quinolin-8-ol"	"Oc1c(cc(F)c2cccnc12)[N+](=O)[O-]"	0	""	""	1	1	260644	"18472021"
"92339"	"92339"	"Fluphenazine"	"CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO"	0	"NonCan:Psy"	"FDA approved"	3	2	6215	"67732"
"92412"	"92412"	""	"OC(C1=C\C(=C/c2ccncc2)\c3ccccc13)c4ccncc4"	0	NA	NA	2	1	NA	""
"92423"	"92423"	"Uridine, 2'-deoxy-5-(trifluoromethyl)-, 3',5'-bis(p-nitr..."	"[O-][N+](=O)c1ccc(cc1)C(=O)OCC2OC(CC2OC(=O)c3ccc(cc3)[N+](=O)[O-])N4C=C(C(=O)NC4=O)C(F)(F)F"	0	""	""	1	1	260750	"7057445"
"92494"	"92494"	"pyrimidine, 5-allyl-2,4,6-trichloro-"	"Clc1nc(Cl)c(CC=C)c(Cl)n1"	0	""	""	2	2	260780	"10182680"
"92495"	"92495"	"5-Butan-2-yl-2,4,6-trichloropyrimidine"	"CCC(C)c1c(Cl)nc(Cl)nc1Cl"	0	""	""	1	1	260781	"14273780"
"92497"	"92497"	"Pyrimidine, 2,4,6-trichloro-5-pentyl-"	"CCCCCc1c(Cl)nc(Cl)nc1Cl"	0	""	""	2	2	260783	"14077679"
"92498"	"92498"	"2,4,6-Trichloro-5-(3-methylbutyl)pyrimidine"	"CC(C)CCc1c(Cl)nc(Cl)nc1Cl"	0	""	""	1	1	260784	"14077691"
"92499"	"92499"	"2,4,6-Trichloro-5-(pentan-2-yl)pyrimidine"	"CCCC(C)c1c(Cl)nc(Cl)nc1Cl"	0	""	""	1	1	260785	"14095659"
"92504"	"92504"	"5-Benzyl-2,4,6-trichloropyrimidine"	"Clc1nc(Cl)c(Cc2ccccc2)c(Cl)n1"	0	""	""	1	1	260789	"14273791"
"92506"	"92506"	"Pyrimidine, 2,4,6-trichloro-5-heptyl-"	"CCCCCCCc1c(Cl)nc(Cl)nc1Cl"	0	""	""	2	2	260791	"14077715"
"92510"	"92510"	"NCIMech_000294"	"CCCCCCCCCc1c(Cl)nc(Cl)nc1Cl"	0	""	""	2	2	260795	"14077737"
"92530"	"92530"	"OR8600T"	"COc1cc2cc([nH]c2cc1OCc3ccccc3)C(=O)O"	0	""	""	1	1	260801	"2495923"
"92585"	"92585"	"Benzoic acid, p-[(purin-6-ylthio)mercuri]-"	"OC(=O)c1ccc([Hg]Sc2ncnc3nc[nH]c23)cc1"	0	""	""	2	2	3246339	""
"92618"	"92618"	"dichlorodipropyltin"	"CCC[Sn](Cl)(Cl)CCC"	0	""	""	1	1	93562	"867367"
"92713"	"92713"	"Arabinopyranoside, methyl, 2,3-dibenzoate 4-p-toluenesul..."	"COC1OCC(OS(=O)(=O)c2ccc(C)cc2)C(OC(=O)c3ccccc3)C1OC(=O)c4ccccc4"	0	""	""	1	1	260901	"13143925"
"92835"	"92835"	"N-[Bis(5,6-dimethyl-1H-benzimidazol-2-yl)methyl]acetamide"	"CC(=O)NC(c1nc2cc(C)c(C)cc2[nH]1)c3nc4cc(C)c(C)cc4[nH]3"	0	""	""	1	1	260983	""
"92859"	"92859"	"Arsenic trioxide"	"O1[As]2O[As]3O[As](O[As]1O3)O2"	0	"Apo"	"FDA approved"	5	2	261004	"1327533"
"92909"	"92909"	"ANTINEOPLASTIC-92909"	"NC(=O)CNc1ccc(cc1)\[As]=[As]\c2ccc(NCC(=O)N)cc2"	0	""	""	1	1	261046	""
"92915"	"92915"	"ANTINEOPLASTIC-92915"	"O=C(Nc1ccc(cc1)\[As]=[As]\c2ccc(NC(=O)c3ccccc3)cc2)c4ccccc4"	0	""	""	2	2	261051	""
"92937"	"92937"	"1H-Benzo[a]carbazole-1,4(11H)-dione, 11-methyl-"	"Cn1c2ccccc2c3ccc4C(=O)C=CC(=O)c4c13"	0	""	""	4	4	261066	"68452380"
"92941"	"92941"	"12-Methyl-5h-naphtho[2,3-a]carbazole-5,13(12h)-dione"	"Cn1c2ccccc2c3ccc4C(=O)c5ccccc5C(=O)c4c13"	0	""	""	1	1	261069	"21355362"
"92954"	"92954"	"ACETYLTROPHANTHIDIN"	"CC(=O)O[C@H]1CC[C@]2(C=O)[C@H]3CC[C@]4(C)[C@H](CC[C@]4(O)[C@@H]3CC[C@]2(O)C1)C5=CC(=O)OC5"	0	NA	NA	2	2	NA	"60388"
"92988"	"92988"	"5JVO6RU58B"	"C(SSCc1ccncc1)c2ccncc2"	0	""	""	2	2	199500	"1020719"
"93033"	"93033"	"Salicylic acid, 4-[2-(3,4-dihydro-2,4-dioxo-1(2H)-pyrimi..."	"OC(=O)c1ccc(NC(=O)CN2C=CC(=O)NC2=O)cc1O"	0	""	""	1	1	261126	"4116421"
"93077"	"93077"	"n-(3,5-Dimethyl-2,4,6-trinitrophenyl)-3,5-dimethyl-2,4,6-trinitroaniline"	"Cc1c(c(C)c(c(Nc2c(c(C)c(c(C)c2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]"	0	""	""	1	1	261155	"5369244"
"93131"	"93131"	"helenin"	"C[C@H]1CCC[C@]2(C)C[C@H]3OC(=O)C(=C)[C@H]3C=C12"	0	""	""	1	1	72724	"546430"
"93132"	"93132"	"agroclavin"	"CN1CC(=CC2C1Cc3c[nH]c4cccc2c34)C"	0	NA	NA	2	1	NA	"548425"
"93134"	"93134"	"hellebrin"	"CC1OC(OC2CCC3(C=O)C4CCC5(C)C(CCC5(O)C4CCC3(O)C2)C6=COC(=O)C=C6)C(O)C(O)C1OC7OC(CO)C(O)C(O)C7O"	0	""	""	14	6	417553	"13289184"
"93135"	"93135"	"oxycanthine"	"COc1cc2CCN(C)C3Cc4ccc(O)c(Oc5ccc(CC6N(C)CCc7cc(OC)c(OC)c(Oc1cc23)c67)cc5)c4"	0	NA	NA	1	1	NA	"548403"
"93287"	"93287"	"(E)-3-(2-Chloro-5-nitrophenyl)-1-phenylprop-2-en-1-one"	"[O-][N+](=O)c1ccc(Cl)c(\C=C\C(=O)c2ccccc2)c1"	0	""	""	1	1	5349234	"29368410"
"93301"	"93301"	"1,3-Benzodioxol-5-yl[4-(3-methylphenyl)piperazin-1-yl]methanethione"	"Cc1cccc(c1)N2CCN(CC2)C(=S)c3ccc4OCOc4c3"	0	""	""	1	1	261316	""
"93354"	"93354"	"Androst-4-en-3-one, 11.beta.-hydroxy-17.beta.-(2-phenyl-..."	"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2c5csc(n5)c6ccccc6"	0	""	""	2	2	261360	""
"93355"	"93355"	"17-(2-Amino-1,3-thiazol-4-yl)-11-hydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one;4-bromobenzenesulfonic acid"	"CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2c5csc(N)n5.OS(=O)(=O)c6ccc(Br)cc6"	0	""	""	1	1	261361	""
"93419"	"93419"	"steffimycin"	"COC1C(O)C(O)C(C)OC1OC2C(OC)C(C)(O)C(=O)c3cc4C(=O)c5cc(OC)cc(O)c5C(=O)c4c(O)c23"	0	NA	NA	5	1	NA	"11033344"
"93427"	"93427"	"Pyrrolo[2,1-a]isoquinoline-2-carboxamide, 3-phenyl-"	"NC(=O)c1cc2c3ccccc3ccn2c1c4ccccc4"	0	NA	NA	2	2	NA	""
"93489"	"93489"	"3-Isothiazolone"	"O=C1NSC=C1"	0	""	""	5	3	96917	"1003072"
"93674"	"93674"	"Aromoline"	"COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5cc(C[C@H]6N(C)CCc7cc(OC)c(Oc(c1O)c23)cc67)ccc5O)cc4"	0	NA	NA	3	2	NA	"519539"
"93734"	"93734"	"LS-103271"	"CC(N)Cc1ccc(Cl)c(Cl)c1"	0	""	""	2	1	201553	"156127"
"93737"	"93737"	"auramin"	"CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C"	0	NA	NA	1	1	NA	"2465272"
"93739"	"93739"	"Basic Fuchsin"	"Cc1cc(ccc1N)C(=C2C=CC(=N)C=C2)c3ccc(N)cc3"	0	""	""	3	3	12447	"632995"
"93819"	"93819"	"ergenyl"	"CCCC(CCC)C(=O)O"	0	"PK:GSK3A,GSK3B"	"FDA approved"	2	1	3121	"99661"
"93866"	"93866"	"Naphtho[2,1-b]quinolizinium, 5-chloro-7-methyl- perchlorate"	"Cc1c2cc(Cl)c3ccccc3c2c[n+]4ccccc14"	0	""	""	2	2	21144372	""
"93868"	"93868"	"Naphtho[1,2-b]quinolizinium, 3,13-dimethyl- perchlorate"	"Cc1ccc2c(ccc3c[n+]4ccccc4c(C)c23)c1"	0	""	""	1	1	21144373	""
"93958"	"93958"	"meterocycle"	"O=C1NC(=O)C(=C\C=C\c2ccccc2)C(=O)N1"	0	""	""	1	1	727420	"23450499"
"93967"	"93967"	"ChemDiv3_000196"	"OC(=O)C(Cc1c[nH]cn1)N2C(=O)c3ccccc3C2=O"	0	""	""	1	1	261550	"5959795"
"94037"	"94037"	"Mikanin"	"CC12CC3OC(=O)C(=C)C3C4OC(=O)C(=C4)C5OC5C1O2"	0	""	""	2	2	5140086	"17928619"
"94600"	"94600"	"CAMPTOTHECIN"	"CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5ccccc5nc34)C2=O"	0	"TOP1"	"FDA approved"	7	7	24360	"7689034"
"94703"	"94703"	"N-Methyl-4-[(E)-quinolin-5-yldiazenyl]aniline"	"CNc1ccc(cc1)N=Nc2cccc3ncccc23"	0	""	""	2	2	261763	""
"94739"	"94739"	"Demethyltylophorinine"	"COc1cc2c3CN4CCC[C@H]4[C@H](O)c3c5ccc(O)cc5c2cc1OC"	0	""	""	2	1	261792	""
"94743"	"94743"	"Cucurbitacin A"	"CC(=O)OC(C)(C)\C=C\C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](O)C(=O)C4(C)C)[C@]3(CO)C(=O)C[C@]12C"	0	""	""	8	5	5281315	"6040193"
"94783"	"94783"	"4-[15-(4-Hydroxy-3-methoxy-phenyl)-1,3,14,16-tetrathiacyclohexacos-2-yl]-2-methoxy-phenol"	"COc1cc(ccc1O)C2SCCCCCCCCCCSC(SCCCCCCCCCCS2)c3ccc(O)c(OC)c3"	0	""	""	1	1	261816	""
"94810"	"94810"	"N-(4-Amino-2-chlorophenyl)-N-(phenylsulfonyl)benzenesulfonamide"	"Nc1ccc(N(S(=O)(=O)c2ccccc2)S(=O)(=O)c3ccccc3)c(Cl)c1"	0	""	""	1	1	261838	""
"94820"	"94820"	"2,2'-(4,4'-methylenebis(4,1-phenylene))diisoindoline-1,3..."	"O=C1N(C(=O)c2ccccc12)c3ccc(Cc4ccc(cc4)N5C(=O)c6ccccc6C5=O)cc3"	0	""	""	2	2	261847	"39673988"
"94889"	"94889"	"Gardenin"	"COc1cc(cc(OC)c1OC)C2=CC(=O)c3c(O)c(OC)c(OC)c(OC)c3O2"	0	""	""	2	2	261859	"21187735"
"94945"	"94945"	"Questiomycin A"	"NC1=CC2=Nc3ccccc3OC2=CC1=O"	0	""	""	2	2	72725	"1916592"
"95099"	"95099"	"gitoxim"	"CC1OC(CC(O)C1O)OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC7(C)C(C(O)CC67O)C8=CC(=O)OC8)C4)OC3C)OC2C"	0	NA	NA	2	2	NA	"4562361"
"95170"	"95170"	"A15655"	"NC(=O)c1ccc(cc1)c2c3ccccc3cc4c2ccc5ccccc45"	0	""	""	1	1	262000	"56164808"
"95381"	"95381"	"DNZGBFXOVKCJMO-UHFFFAOYSA-N"	"CC1Oc2cc(OC(=O)C)ccc2C=C1c3ccc(OC(=O)C)cc3"	0	""	""	1	1	262088	"10499088"
"95382"	"95382"	"Camptothecin Derivative"	"CCC1(OC(=O)C)C(=O)OCC2=C1C=C3N(Cc4cc5ccccc5nc34)C2=O"	0	"TOP1"	""	3	3	NA	"7688644"
"95397"	"95397"	"1,4-Naphthalenedione, 2,3-bis[(2-hydroxyethyl)thio]-"	"OCCSC1=C(SCCO)C(=O)c2ccccc2C1=O"	0	""	""	2	2	262093	"93718833"
"95434"	"95434"	"ALBB-001166"	"O=Cc1cn(Cc2ccccc2)c3ccccc13"	0	""	""	2	2	262104	"10511510"
"95441"	"95441"	"METHYL CCNU"	"C[C@@H]1CC[C@H](CC1)NC(=O)N(CCCl)N=O"	0	"A7"	""	11	2	NA	"13909096"
"95448"	"95448"	"1h-1,2,4-triazole, 3-(4-diazo-4h-imidazol-5-yl)-"	"[N-]=[N+]=C1N=CN=C1c2nc[nH]n2"	0	""	""	1	1	500000	""
"95466"	"95466"	"PCNU"	"ClCCN(N=O)C(=O)NC1CCC(=O)NC1=O"	0	"A7"	""	11	7	26328	"13909029"
"95570"	"95570"	""	"O=C(CCN1CC2CCC(CC2)C1)c3cccs3"	0	NA	NA	2	2	NA	"16228674"
"95580"	"95580"	"HMBA"	"CC(=O)NCCCCCCNC(=O)C"	0	""	""	10	1	3616	"3073594"
"95609"	"95609"	"tetraoxo[?]tetrone"	"O=C1CNCCCN2CCN(CCCNCC(=O)Nc3ccc(cc3)S(=O)(=O)c4ccc(NC(=O)CNCCCN5CCN(CCCNCC(=O)Nc6ccc(cc6)S(=O)(=O)c7ccc(N1)cc7)CC5)cc4)CC2"	0	""	""	2	2	262184	""
"95676"	"95676"	"3-(3,10-Dimethyl-3-azoniaspiro[5.5]undecan-3-yl)propyl-trimethylazanium;iodide"	"CC1CCCC2(CC[N+](C)(CCC[N+](C)(C)C)CC2)C1"	0	""	""	1	1	5351927	""
"95678"	"95678"	"3-HP"	"NC(=S)N\N=C\c1ncccc1O"	0	"Ds"	""	13	5	NA	"3814797"
"95779"	"95779"	"2-(Tosyloxy)biphenyl"	"Cc1ccc(cc1)S(=O)(=O)Oc2ccccc2c3ccccc3"	0	""	""	2	2	262324	""
"96019"	"96019"	"solanine"	"CC1CCC2C(C)C3C(CC4C5CC=C6CC(CCC6(C)C5CCC34C)OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7OC9OC(C)C(O)C(O)C9O)N2C1"	0	""	""	5	1	262500	""
"96349"	"96349"	"Coralyne chloride"	"COc1cc2cc[n+]3c(C)c4cc(OC)c(OC)cc4cc3c2cc1OC"	0	NA	NA	1	1	NA	"38989387"
"96517"	"96517"	"3-Methyl-3,5-diphenyl-1,3-thiazol-3-ium-2-thione;iodide"	"C[N+]1(C=C(SC1=S)c2ccccc2)c3ccccc3"	0	""	""	1	1	24189815	""
"96541"	"96541"	"1-Benzoyl-1,2-dihydrobenzo[f]quinaldonitrile"	"O=C(N1C(C=Cc2c1ccc3ccccc23)C#N)c4ccccc4"	0	""	""	2	2	262649	"26455958"
"96641"	"96641"	"wln: t b666 dn fnj c1 emym&z &gh"	"Cc1nc(NC(=N)N)nc2ccc3ccccc3c12"	0	""	""	1	1	200222	"1150410"
"96694"	"96694"	""	"NCCSC(c1ccccc1)c2ccccc2"	0	NA	NA	1	1	NA	"15515589"
"96704"	"96704"	"S-tritylcysteamine"	"NCCSC(c1ccccc1)(c2ccccc2)c3ccccc3"	0	""	""	1	1	262764	"1095858"
"96914"	"96914"	"perfluorobenzophenone"	"Fc1c(F)c(F)c(C(=O)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F"	0	""	""	2	2	70068	"853394"
"96932"	"96932"	"3,3'-diethyl-9-methylthiacarbocyanine iodide"	"CCN1\C(=C\C(=C\c2sc3ccccc3[n+]2CC)\C)\Sc4ccccc14"	0	NA	NA	1	1	NA	"3065790"
"96996"	"96996"	"piriqualone"	"Cc1ccccc1N2C(=Nc3ccccc3C2=O)\C=C\c4ccccn4"	0	NA	NA	1	1	NA	"1897898"
"97338"	"97338"	"isotetrandrine"	"COc1ccc2C[C@@H]3N(C)CCc4cc(OC)c(OC)c(Oc5cc6[C@@H](Cc7ccc(Oc1c2)cc7)N(C)CCc6cc5OC)c34"	0	NA	NA	1	1	NA	"477576"
"97345"	"97345"	"2-[2-(Carboxylatomethyl-(carboxymethyl)amino)ethyl-(carboxymethyl)amino]acetate; mercury(+2) cation"	"OC(=O)C[N+]12CC[N+]3(CC(=O)O)CC(=O)O[Hg]13OC(=O)C2"	0	""	""	2	2	16683706	""
"97371"	"97371"	"tri-p-tolylphosphine"	"Cc1ccc(cc1)P(c2ccc(C)cc2)c3ccc(C)cc3"	0	""	""	1	1	13956	"1038955"
"97372"	"97372"	"(Ethylmethyl)octadecylsulfonium iodide"	"CCCCCCCCCCCCCCCCCC[S+](C)CC"	0	""	""	1	1	207332	"29676504"
"97374"	"97374"	"Diethylcyanine"	"CCN1\C(=C\c2ccc3ccccc3[n+]2CC)\C=Cc4ccccc14"	0	""	""	2	2	5717105	"2402428"
"97388"	"97388"	"Silver benzoate"	"[Ag+].OC(=O)c1ccccc1"	0	""	""	2	2	6712949	"532310"
"97419"	"97419"	"progallin o"	"CCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1"	0	""	""	2	2	61253	"1034011"
"97845"	"97845"	"(16E)-16-Hydroxyimino-13-methyl-3-(2-methylprop-2-enoxy)-6,7,8,9,11,12,14,15-octahydrocyclopenta[a]phenanthren-17-one"	"CC(=C)COc1ccc2C3CCC4(C)C(C\C(=N/O)\C4=O)C3CCc2c1"	0	""	""	2	1	6414726	""
"97882"	"97882"	""	"COc1ccc(C[N+](C)(C)N)cc1OC"	0	NA	NA	2	1	NA	""
"97885"	"97885"	""	"C\C(=N/[N+](C)(C)C)\c1ccc(C)c(C)c1"	0	NA	NA	2	1	NA	""
"97960"	"97960"	"2-[(2E)-2-[(5-Bromo-2-hydroxyphenyl)methylidene]hydrazinyl]-4-methyl-1H-pyrimidin-6-one"	"CC1=CC(=O)N\C(=N\N=C\c2cc(Br)ccc2O)\N1"	0	""	""	1	1	135458781	""
"97967"	"97967"	"Benzaldehyde, 2-hydroxy-, (1,4-dihydro-6-methyl-4-oxo-2-..."	"CC1=CC(=O)N\C(=N\N=C\c2ccccc2O)\N1"	0	NA	NA	1	1	NA	"66680033"
"98363"	"98363"	"Ethyl (2Z)-2-cyano-2-[(5Z)-5-(1-cyano-2-ethoxy-2-oxo-ethylidene)-1,2,4-trithiolan-3-ylidene]acetate"	"CCOC(=O)\C(=C\1/SS\C(=C(\C#N)/C(=O)OCC)\S1)\C#N"	0	""	""	1	1	3003822	"2631938"
"98481"	"98481"	"4LTV4EUB33"	"N#CC1(C#N)C2(CCCCCC2)C1(C#N)C#N"	0	""	""	2	2	263806	"93086954"
"98535"	"98535"	"Aminoanfol"	"Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CC(=O)O)C(=O)O)cnc2n1"	0	NA	NA	2	2	NA	"25312316"
"98572"	"98572"	".beta.-Resorcylaldehyde, 2-pyridylhydrazone"	"Oc1ccc(\C=N\N=C/2\NC=CC=C2)c(O)c1"	0	""	""	1	1	135509512	"50286856"
"98573"	"98573"	"2-Hydroxynaphthalene-1-carbaldehyde (2-pyridyl)hydrazone"	"Oc1ccc2ccccc2c1\C=N\N=C\3/NC=CC=C3"	0	""	""	2	2	135400277	"10335601"
"98579"	"98579"	"Bromochloromethotrexate"	"CN(Cc1cnc2nc(N)nc(N)c2n1)c3c(Cl)cc(cc3Br)C(=O)NC(CCC(=O)O)C(=O)O"	0	NA	NA	2	2	NA	"6914121"
"98580"	"98580"	"Monobromomethotrexate"	"CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3Br)C(=O)NC(CCC(=O)O)C(=O)O"	0	NA	NA	2	2	NA	"13082832"
"98710"	"98710"	"6-Phenyl-5-[(e)-phenyldiazenyl]pyrimidine-2,4-diamine"	"Nc1nc(N)c(N=Nc2ccccc2)c(n1)c3ccccc3"	0	""	""	1	1	263983	"13491719"
"98828"	"98828"	"1-((2-Pyridinylmethyl)thio)acetone"	"CC(=O)CSCc1ccccn1"	0	""	""	1	1	264035	""
"98883"	"98883"	"Thiazolo[3,2-f]phenanthridinium, 2-methyl- perchlorate"	"Cc1c[n+]2c3ccccc3c4ccccc4c2s1"	0	""	""	2	2	21144387	""
"98892"	"98892"	"STK973247"	"Cc1cc(SCC(=O)c2ccccc2)nc3ccccc13"	0	""	""	1	1	264064	"13896861"
"98904"	"98904"	"Thiazolo[3,2-f]phenanthridinium, 3-phenyl- perchlorate"	"c1ccc(cc1)c2csc3c4ccccc4c5ccccc5[n+]23"	0	""	""	2	2	5351215	"13896996"
"98905"	"98905"	"2-(phenanthridin-6-ylthio)-1-phenylethanone"	"O=C(CSc1nc2ccccc2c3ccccc13)c4ccccc4"	0	""	""	1	1	264067	"13896974"
"98923"	"98923"	"N-Phenyl-2-(pyridine-2-carbonyl)hydrazine-1-carbothioamide"	"O=C(NNC(=S)Nc1ccccc1)c2ccccn2"	0	""	""	1	1	5380527	"60838166"
"98938"	"98938"	"(1E,4E)-1-(2-Hydroxyphenyl)-5-(2-methoxyphenyl)penta-1,4-dien-3-one"	"COc1ccccc1\C=C\C(=O)\C=C\c2ccccc2O"	0	""	""	2	2	6284052	""
"99016"	"99016"	"CALYCANTHINE"	"CN1CCC23C4Nc5ccccc5C2(CCN4C)C1Nc6ccccc36"	0	NA	NA	4	1	NA	"595051"
"99027"	"99027"	"NCIMech_000601"	"BrCc1ccc2C=CC(=O)Oc2c1"	0	""	""	1	1	264119	"53878129"
"99060"	"99060"	"1-Bromo-N-cycloheptyl-1,1,1-triphenyl-lambda~5~-phosphanamine"	"BrP(NC1CCCCCC1)(c2ccccc2)(c3ccccc3)c4ccccc4"	0	""	""	1	1	264143	"30866865"
"99087"	"99087"	"Ethyl 3-hydroxy-2-(6-hydroxy-1,3-dimethyl-2,4-dioxo-pteridin-7-yl)propanoate"	"CCOC(=O)C(CO)C1=NC2=C(NC1=O)C(=O)N(C)C(=O)N2C"	0	""	""	1	1	264162	""
"99148"	"99148"	"E0P23WVX51"	"O=[Sn](C1CCCCC1)C2CCCCC2"	0	""	""	2	2	31510	"22771171"
"99282"	"99282"	"Rubradirin"	"COC1C(C)OC(CC1(C)[N+](=O)[O-])Oc2cc(nc(C(=O)OC3C(C)\C=C(/C)\C(=O)c4c(O)c(C)cc5C(=O)C6=C(OC(C)(CN6)C(=O)C3O)C(=O)c45)c2O)C(=O)NC7=C(O)c8ccc(OC)cc8OC7=O"	0	""	""	1	1	54711001	"11031382"
"99296"	"99296"	"Tetramethylammonium bis[decahydro-C- phenyldicarbaundeca..."	"[Fe+2].[R]c1ccccc1.[R]c2ccccc2.C[N+](C)(C)C.[RH].[RH]"	0	NA	NA	1	1	NA	""
"99300"	"99300"	""	"CCCCc1cc(O)ccc1O"	0	NA	NA	1	1	NA	"4197697"
"99303"	"99303"	"DA-28952"	"Oc1ccc(O)c(Cc2ccccc2)c1"	0	""	""	1	1	74354	"1706736"
"99310"	"99310"	"Hydroquinone, octyl-"	"CCCCCCCCc1cc(O)ccc1O"	0	NA	NA	1	1	NA	"1706690"
"99445"	"99445"	"cytosine arabinoside monophosphate"	"NC1=NC(=O)N(C=C1)C2OC(COP(=O)(O)O)C(O)C2O"	0	NA	NA	2	2	NA	"7075118"
"99515"	"99515"	""	"N=C(c1ccc2ccccc2c1)c3ccccc3Cc4ccccc4"	0	NA	NA	1	1	NA	""
"99543"	"99543"	"(3,5-Dimethylphenyl)-[2-(naphthalen-1-ylmethyl)phenyl]methanimine;hydrochloride"	"Cc1cc(C)cc(c1)C(=N)c2ccccc2Cc3cccc4ccccc34"	0	""	""	1	1	5351940	""
"99671"	"99671"	"2-[2-[(1,3-Dimethyl-2-oxo-6-sulfanylidene-7H-purin-8-yl)sulfanyl]ethyl]isoindole-1,3-dione"	"CN1C(=O)N(C)c2nc(SCCN3C(=O)c4ccccc4C3=O)[nH]c2C1=S"	0	""	""	1	1	3246362	"6493001"
"99676"	"99676"	"1,3-Dimethyl-8-[(3-phenylpropyl)thio]-6-thioxo-1,6-dihydro-7H-purine-2(3H)-one"	"CN1C(=O)N(C)c2nc(SCCCc3ccccc3)[nH]c2C1=S"	0	""	""	1	1	3246363	"6493023"
"99733"	"99733"	"reumycin"	"CN1C(=O)N=C2NN=CN=C2C1=O"	0	""	""	4	2	5351216	"5016182"
"99843"	"99843"	"vengicide"	"Nc1ncnc2c1c(cn2C3OC(CO)C(O)C3O)C#N"	0	NA	NA	2	2	NA	"606586"
"100045"	"100045"	"saponin p"	"[R]OC1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC=C4[C@@H]5CC(C)(C)[C@@H](OC(=O)\C=C/C=C\C(C)CC)[C@H](OC(=O)C)[C@@]5(CC[C@@]34C)C(=O)O)C1(C)C"	0	NA	NA	4	2	NA	""
"100046"	"100046"	"Elephantopin"	"CC(=C)C(=O)O[C@H]1CC2=C[C@@H](C[C@@]3(C)O[C@@H]3[C@H]4OC(=O)C(=C)[C@H]14)OC2=O"	0	NA	NA	4	3	NA	"13017113"
"100058"	"100058"	"jilkon"	"COc1ccc2CN(C)CCC34C=CC(O)CC3Oc1c24"	0	NA	NA	4	1	NA	"357700"
